Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1138/RED/E-Tender(31)/2025-26, Dt. 31.01.2026",2026_REDUP_1119239_19,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Dage Corrigendum,Date,,24-Feb-2026 12:00 PM,11-Mar-2026 02:30 PM,24-Feb-2026 12:00 PM,11-Mar-2026 02:00 PM,NA ,NA ,24-Feb-2026 12:00 PM,11-Mar-2026 02:00 PM,17-Mar-2026 12:00 PM,"52,200",No,fixed,,Nil,Nil,"2,384",Nil,Nil,No,1.0,SBI Bank,Vikas Khan Mihipurwa Gram Sabha Bhagdiya ke Indira Nagar Colony me Makhan ke ghar se Bhagirath ke ghar hote huye Kishuno ke ghar tak C.C. road nirman karya_19,Vikas Khan Mihipurwa Gram Sabha Bhagdiya ke Indira Nagar Colony me Makhan ke ghar se Bhagirath ke ghar hote huye Kishuno ke ghar tak C.C. road nirman karya_19,Please refer Tender documents. ,NA ,"26,08,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,Office of the E.E. R.E.D. Bahraich,No ,No,Executive Engineer,Office of the E.E. R.E.D. Bahraich,1,Fee/PreQual/Technical,.pdf,Technical bid document,AOC,Finance,Financial bid open,Sujit Kumar Sinha,17-Mar-2026 02:47 PM,finance_2081036.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,18-Mar-2026 02:00 PM,finsummary_2081036.pdf (43.44 KB),1.0,5961031.0,PUSHPA ENTERPRISES,INR,"3,075,436.35",1,5956919,MAHADEV TRADERS,10-Mar-2026 11:59 AM,Rejected-Finance,High,18-Mar-2026 02:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1119239_19,"1138/RED/E-Tender(31)/2025-26, Dt. 31.01.2026",Vikas Khan Mihipurwa Gram Sabha Bhagdiya ke Indira Nagar Colony me Makhan ke ghar se Bhagirath ke ghar hote huye Kishuno ke ghar tak C.C. road nirman karya_19,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,16-Mar-2026 03:32 PM,17-Mar-2026 12:00 PM,techsummary_2081036.pdf (425.39 KB),18-Apr-2026,"INR 3,075,436.35",180.0,Sujit Kumar Sinha,24-Apr-2026 04:20 PM,19.pdf (47.00 KB),Technical,Technical bid open,Sujit Kumar Sinha,11-Mar-2026 03:11 PM,technical_2081036.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,2,5961031,PUSHPA ENTERPRISES,11-Mar-2026 11:37 AM,Accepted-AOC,AOC,24-Apr-2026 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
