Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1116227_1,6269(156)/NNA/2025-26,NIRMAN WORK,1.0,5932871.0,M/S SUNITA SHARMA,INR,"1,490,216",1,5932699,M/S AVADHESH SHARMA,26-Feb-2026 08:32 PM,Rejected-Finance,OK,16-Apr-2026 11:56 AM,26-Apr-2026,"INR 1,490,216",30.0,Rajvir Singh,26-Apr-2026 01:57 PM,cammetti.pdf (193.00 KB),ok,CE,Internal,EE,Danish Haider Naqvi,06-Apr-2026 02:45 PM,06-Apr-2026 03:00 PM,techsummary_2076893.pdf (193.40 KB),Finance,OK,Rajvir Singh,16-Apr-2026 11:48 AM,,BOQ Comparative Chart,CE,Internal,EE,Danish Haider Naqvi,16-Apr-2026 11:56 AM,finsummary_2076893.pdf (306.76 KB),Technical,All Documents Completed,Rajvir Singh,06-Apr-2026 12:21 PM,technical_2076893.pdf,AOC,Directorate of Local Bodies UP||Aligarh Municipal Corporation,6269(156)/NNA/2025-26,2026_DOLBU_1116227_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,21-Feb-2026 05:00 PM,28-Feb-2026 11:00 AM,21-Feb-2026 05:00 PM,27-Feb-2026 05:00 PM,NA ,NA ,21-Feb-2026 05:00 PM,27-Feb-2026 05:00 PM,06-Apr-2026 03:00 PM,NIRMAN WORK,NIRMAN WORK,Please refer Tender documents. ,NA ,"14,95,000",Civil Works,NA ,Tender,90.0,30.0,ALIGARH,202001.0,NA ,NA ,NA ,NAGAR NIGAM ALIGARH,No ,No,"1,50,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,SBI Bank,EE,NAGAR NIGAM ALIGARH,"2,360",Nil,Nil,No,AOC
,,,,,,,,,2,5932871,M/S SUNITA SHARMA,27-Feb-2026 08:00 AM,Accepted-AOC,ok,26-Apr-2026 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,AOC
,,,,,,,,,3,5932782,UMA SHANKAR SHARMA,26-Feb-2026 10:19 PM,Rejected-Finance,OK,16-Apr-2026 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
