Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1126534_3,1040/RED/Chandauli/25-26 Date-20-01-2026,Vikas Khand Chakia ke Gram Sabha Pitpur me Govind ke ghar se Ramesh Banvasi ke ghar tak CC road w sidwall nirman kary.,1.0,5994409.0,M/S MAHADEV CONSTRUCTION,INR,"1,152,093",1,5994409,M/S MAHADEV CONSTRUCTION,26-May-2026 05:18 PM,Accepted-AOC,1st Lowest,27-Apr-2026 05:27 PM,16-Apr-2026,"INR 1,152,093",90.0,Aniruddh Kumar Yadav,27-Apr-2026 05:27 PM,Pitpur.pdf (340.00 KB),EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,09-May-2026 05:18 PM,finsummary_2100871.pdf (544.83 KB),Technical,bids received,Aniruddh Kumar Yadav,30-Mar-2026 05:20 PM,,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,30-Mar-2026 05:39 PM,07-Apr-2026 11:00 AM,techsummary_2100871.pdf (541.13 KB),Finance,bids received,Aniruddh Kumar Yadav,07-Apr-2026 03:23 PM,,BOQ Comparative Chart,AOC,Vikas Khand Chakia ke Gram Sabha Pitpur me Govind ke ghar se Ramesh Banvasi ke ghar tak CC road w sidwall nirman kary.,Vikas Khand Chakia ke Gram Sabha Pitpur me Govind ke ghar se Ramesh Banvasi ke ghar tak CC road w sidwall nirman kary.,Please refer Tender documents. ,NA ,"11,54,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Chakia,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,1.0,SBI Bank,17-Mar-2026 06:50 PM,23-Mar-2026 12:30 PM,17-Mar-2026 06:50 PM,23-Mar-2026 12:00 PM,NA ,NA ,17-Mar-2026 06:50 PM,23-Mar-2026 12:00 PM,07-Apr-2026 11:00 AM,1,Fee/PreQual/Technical,.pdf,EMD Fees and Technical Document,"24,000",No,fixed,,Nil,Nil,"1,016",Nil,Nil,No,EE RED Chandauli,EE RED Chandauli,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,1040/RED/Chandauli/25-26 Date-20-01-2026,2026_REDUP_1126534_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5994419,M/S MAHAKAL CONSTRUCTION,21-Mar-2026 05:32 PM,Rejected-Finance,Reject due to higher rate,26-May-2026 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
