Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Technical,Anti-Erosion work to Protect village-Motipur situated at L/B of river Suheli in Distt. Lakhimpur-Kheri.,Anti-Erosion work to Protect village-Motipur situated at L/B of river Suheli in Distt. Lakhimpur-Kheri.,Please refer Tender documents. ,NA ,"1,14,52,000",Civil Works,NA ,Tender,90.0,90.0,Lakhimpur Kheri,262701.0,Lakhimpur ,SE Flood Circle Lakhimpur Kheri ,10-Mar-2026 01:00 PM ,SE Flood Circle Lakhimpur Kheri,No ,No,1.0,SBI Bank,"2,30,000",No,fixed,,Nil,Nil,"2,715",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Flood Circle, Lakhimpur Khiri",03/SE/2025-26,2026_UPIDC_1122699_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,09-Mar-2026 09:00 AM,16-Mar-2026 04:00 PM,09-Mar-2026 09:15 AM,16-Mar-2026 02:00 PM,NA ,NA ,09-Mar-2026 11:00 AM,16-Mar-2026 02:00 PM,24-Mar-2026 09:00 AM,SE,SE Flood Circle Lakhimpur Kheri,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Flood Circle, Lakhimpur Khiri",2026_UPIDC_1122699_10,03/SE/2025-26,Anti-Erosion work to Protect village-Motipur situated at L/B of river Suheli in Distt. Lakhimpur-Kheri.,1,5973924,Jagat Construction,16-Mar-2026 01:49 PM,Rejected-Finance,L2,25-Mar-2026 11:49 AM,Anil Kumar Niranjan,Internal,Om prakash verma,Anil Kumar Niranjan,25-Mar-2026 11:49 AM,finsummary_2090944.pdf (23.97 KB),Finance,Financial Evaluation,Anil Kumar Niranjan,24-Mar-2026 12:18 PM,,BOQ Comparative Chart,1.0,5970393.0,Rajesh Kumar,INR,"6,903,140.57",Technical,TECHNICAL EVALUATION,Anil Kumar Niranjan,16-Mar-2026 07:34 PM,,02-Apr-2026,"INR 6,903,140.57",90.0,Anil Kumar Niranjan,23-Apr-2026 02:12 PM,LOT10RAJESHMOTIPUR.pdf (482.00 KB),AOC,Anil Kumar Niranjan,Internal,Om Prakash Verma,Anil Kumar Niranjan,21-Mar-2026 07:01 PM,24-Mar-2026 09:00 AM,techsummary_2090944.pdf (316.72 KB),AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,5974839,M/S NIRMAL INFRASTRUCTURE,15-Mar-2026 04:54 PM,Rejected-Finance,L4,25-Mar-2026 11:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,5976376,M/S OBELION CONSTRUCTIONS,16-Mar-2026 12:26 AM,Rejected-Finance,L5,25-Mar-2026 11:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,5977544,M/S SHRI RAM SINGH,16-Mar-2026 12:55 PM,Rejected-Finance,L3,25-Mar-2026 11:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,5970393,Rajesh Kumar,16-Mar-2026 10:35 AM,Accepted-AOC,Accepted,23-Apr-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
