Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,1697_04/Mpy/KHERI/2025-26,2026_REDUP_1127293_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,944.0,Nil,Nil,No,"42,000",No,fixed,,Nil,Nil,Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur Kheri,"Installation work of 6way semi-high mast lights at 02 locations in block Pasgawan, 08 locations in block Behjam and 3 locations in block Dhaurahra total 13 Nos. in district Lakhimpur Kheri.","Installation work of 6way semi-high mast lights at 02 locations in block Pasgawan, 08 locations in block Behjam and 3 locations in block Dhaurahra total 13 Nos. in district Lakhimpur Kheri.",Please Refer Tender Document ,NA ,"20,51,200",Electrical Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,24-Mar-2026 05:18 PM,30-Mar-2026 12:30 PM,24-Mar-2026 12:00 PM,30-Mar-2026 12:00 PM,NA ,NA ,24-Mar-2026 12:00 PM,30-Mar-2026 12:00 PM,04-May-2026 05:18 PM,1,Fee/PreQual/Technical,.pdf,Technical PDF,AOC,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,08-Apr-2026 02:32 PM,finsummary_2102485.pdf (361.93 KB),Technical,Recommended for Technical Evaluation,Hemant Saxena,01-Apr-2026 06:09 PM,technical_2102485.pdf,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,01-Apr-2026 09:34 PM,04-Apr-2026 12:00 PM,techsummary_2102485.pdf (634.53 KB),Finance,Recommended for Financial Evaluation,Rajendra Nath Chaturvedi,06-Apr-2026 02:45 PM,finance_2102485.pdf,BOQ Comparative Chart,1,6016377,M/s Mannat Construction,28-Mar-2026 06:41 PM,Accepted-AOC,Accepted,30-Apr-2026 10:18 PM,1.0,6016377.0,M/s Mannat Construction,INR,"2,040,673",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2026_REDUP_1127293_1,1697_04/Mpy/KHERI/2025-26,"Installation work of 6way semi-high mast lights at 02 locations in block Pasgawan, 08 locations in block Behjam and 3 locations in block Dhaurahra total 13 Nos. in district Lakhimpur Kheri.",15-Apr-2026,"INR 2,040,673",60.0,Rajendra Nath Chaturvedi,30-Apr-2026 10:18 PM,AOC_1697_04.pdf (273.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill Of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6016487,SWIKRIT CONSTRUCTIONS,28-Mar-2026 09:24 PM,Rejected-Finance,2nd Lowest Bidder,08-Apr-2026 02:32 PM,,,,,,,,,,,,,,,,AOC
