Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Construction Circle, Varanasi",04/SE/2025-26,2026_UPIDC_1122058_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,714",Nil,Nil,No,"10,58,000",No,fixed,,Nil,Nil,"Anti errosion work for protection of 300 metre length Near Narwa Ghat of Village Gahmar at Right bank of river Ganga in Tehsil-Seorai, District-Ghazipur","Anti errosion work for protection of 300 metre length Near Narwa Ghat of Village Gahmar at Right bank of river Ganga in Tehsil-Seorai, District-Ghazipur",Please refer Tender documents. ,NA ,"5,29,00,000",Civil Works,NA ,Tender,90.0,90.0,"Vill-Gahmar,Tehsil- sewarai, Distt- Ghazipur",231327.0,NA ,NA ,NA ,"S.E.Irrigation Construction Circle, Varanasi",No ,No,1.0,SBI Bank,"S.E.Irrigation Construction Circle, Varanasi","Superintending Engineer, Irrigation Construction Circle, Varanasi.",10-Mar-2026 02:00 PM,16-Mar-2026 11:00 AM,10-Mar-2026 02:00 PM,16-Mar-2026 10:00 AM,NA ,NA ,10-Mar-2026 02:00 PM,16-Mar-2026 10:00 AM,21-Mar-2026 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Technical Documents,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Construction Circle, Varanasi",2026_UPIDC_1122058_10,04/SE/2025-26,"Anti errosion work for protection of 300 metre length Near Narwa Ghat of Village Gahmar at Right bank of river Ganga in Tehsil-Seorai, District-Ghazipur",1,5976367,M/S BADRI SINGH,16-Mar-2026 09:58 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Mar-2026 06:50 PM,1.0,5975327.0,M/S SUNIDHI ENTERPRISES,INR,"51,114,110.29",Finance,Financial evaluation,Seemant Seemant,10-Apr-2026 04:00 PM,,BOQ Comparative Chart,SEEMANT,Internal,G.C.SINGH,Seemant Seemant,10-Apr-2026 04:07 PM,finsummary_2092356.pdf (106.01 KB),Technical,Technical evaluation,Seemant Seemant,17-Mar-2026 06:50 PM,technical_2092356.pdf,10-Apr-2026,"INR 51,114,110.29",90.0,Seemant Seemant,23-Apr-2026 10:06 AM,ag6aoc.pdf (786.00 KB),AOC,SEEMANT,Internal,G.C.SINGH,Seemant Seemant,17-Mar-2026 07:47 PM,21-Mar-2026 10:00 AM,techsummary_2092356.pdf (106.01 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Documents,AOC,,,,,2,5975090,M/S OM PRAKASH PANDEY,15-Mar-2026 06:21 PM,Rejected-AOC,L2,23-Apr-2026 10:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,5975327,M/S SUNIDHI ENTERPRISES,15-Mar-2026 09:06 PM,Accepted-AOC,L1,23-Apr-2026 10:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
