Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1116584_2,2074/red/tender/unnao/2025-26 Dt- 27-01-2026,Baraha Khurd Vikas Khand Miyanganj me Gauri Rawat ke Ghar Se Jalim Nayi ke Ghar tak interlocking Road evm Nali ka Nirman karye.,1.0,5895539.0,M/S LAKSHMI SHANKAR,INR,"1,082,635.9",1,5895539,M/S LAKSHMI SHANKAR,20-Feb-2026 07:03 PM,Accepted-AOC,l1,16-Apr-2026 04:58 PM,16-Apr-2026,"INR 1,082,635.9",90.0,Narendra chaudhary,16-Apr-2026 04:58 PM,Gauri.pdf (994.00 KB),l1,Er Narendra Chaudhry,Internal,,Narendra chaudhary,16-Apr-2026 04:56 PM,finsummary_2073993.pdf (994.50 KB),Technical,Summary,Narendra chaudhary,06-Mar-2026 10:52 AM,technical_2073993.pdf,Er Narendra Chaudhary,Internal,,Narendra chaudhary,06-Mar-2026 10:54 AM,06-Mar-2026 11:00 AM,techsummary_2073993.pdf (709.03 KB),Finance,Summary,Narendra chaudhary,16-Apr-2026 04:54 PM,finance_2073993.pdf,BOQ Comparative Chart,AOC,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Er Narendra Chaudhary,Vikash Bhawan Unnao,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2074/red/tender/unnao/2025-26 Dt- 27-01-2026,2026_REDUP_1116584_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"22,000",Yes,fixed,,Nil,Nil,16-Feb-2026 01:55 PM,21-Feb-2026 05:00 PM,16-Feb-2026 01:55 PM,21-Feb-2026 04:30 PM,NA ,NA ,16-Feb-2026 01:55 PM,21-Feb-2026 04:30 PM,06-Mar-2026 05:29 PM,"1,000",Nil,Nil,No,1.0,SBI Bank,Baraha Khurd Vikas Khand Miyanganj me Gauri Rawat ke Ghar Se Jalim Nayi ke Ghar tak interlocking Road evm Nali ka Nirman karye.,Baraha Khurd Vikas Khand Miyanganj me Gauri Rawat ke Ghar Se Jalim Nayi ke Ghar tak interlocking Road evm Nali ka Nirman karye.,Plz Refer Doc ,NA ,"10,84,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED UNNAO,No ,No,AOC
,,,,,,,,,2,5892218,m/s Sandeep shukla,20-Feb-2026 06:08 PM,Rejected-AOC,l2,16-Apr-2026 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
