Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,354",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Varansi",05/SE/2025-26,2026_UPIDC_1122056_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Document,"Anti erosion work for protection of village Hasanpur at right bank of river Ganga, Block Chahaniya Tahsil Sakaldiha Distt. Chandauli.","Anti erosion work for protection of village Hasanpur at right bank of river Ganga, Block Chahaniya Tahsil Sakaldiha Distt. Chandauli.",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Village Hasanpur Post Marufpur District Chandauli,221115.0,NA ,NA ,NA ,"SE, Irrigation Works Circle Varanasi",No ,No,"SE, Irrigation Works Circle Varanasi","SE, Irrigation Works Circle Varanasi",09-Mar-2026 11:00 AM,16-Mar-2026 12:00 PM,09-Mar-2026 11:00 AM,16-Mar-2026 11:00 AM,NA ,NA ,09-Mar-2026 11:00 AM,16-Mar-2026 11:00 AM,26-May-2026 05:06 PM,1.0,SBI Bank,"4,56,000",No,fixed,,Nil,Nil,AOC,Gyan Chand Singh,Internal,Seemant,Gyan Chand Singh,19-Mar-2026 05:43 PM,23-Mar-2026 10:00 AM,techsummary_2091295.pdf (62.57 KB),Finance,Financial Evaluation,Gyan Chand Singh,08-Apr-2026 01:46 PM,,BOQ Comparative Chart,Gyan Chand Singh,Internal,Seemant,Gyan Chand Singh,08-Apr-2026 01:53 PM,finsummary_2091295.pdf (62.57 KB),Technical,Technical Evaluation,Gyan Chand Singh,19-Mar-2026 05:33 PM,technical_2091295.pdf,1.0,5972432.0,ARVIND KUMAR SINGH,INR,"18,125,336.6","U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Varansi",2026_UPIDC_1122056_7,05/SE/2025-26,"Anti erosion work for protection of village Hasanpur at right bank of river Ganga, Block Chahaniya Tahsil Sakaldiha Distt. Chandauli.",1,5974498,ANIL KUMAR SINGH,15-Mar-2026 03:00 PM,Rejected-AOC,Second Lowest,08-Apr-2026 02:20 PM,08-Apr-2026,"INR 18,125,336.6",90.0,Gyan Chand Singh,08-Apr-2026 02:20 PM,DS_Hasanpur.pdf (291.00 KB),Date of Start Issue,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5972432,ARVIND KUMAR SINGH,15-Mar-2026 06:50 PM,Accepted-AOC,First Lowest,08-Apr-2026 02:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5974734,SARVESHWARI CONSTRUCTION COMPANY,15-Mar-2026 07:04 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Mar-2026 05:33 PM,,,,,,,,AOC
