Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,200/E-Tender/2025-26 dt. 29.01.2026,2026_PWDBL_1111942_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,05-Feb-2026 09:00 AM,10-Feb-2026 12:30 PM,05-Feb-2026 09:00 AM,10-Feb-2026 12:00 PM,NA ,NA ,05-Feb-2026 09:00 AM,10-Feb-2026 12:00 PM,1.0,SBI Bank,Vikramaditya Marg sthit Naya Mantri Awas No.-4 me main samanaya marammat ka karya.,Vikramaditya Marg sthit Naya Mantri Awas No.-4 me main samanaya marammat ka karya.,Please refer Tender documents. ,NA ,"1,90,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Lucknow,226001.0,EE Maintenance Division 2 (Civil) PWD Lucknow  ,EE Maintenance Division 2 (Civil) PWD Lucknow  ,06-Feb-2026 12:00 PM ,EE Maintenance Division 2 (Civil) PWD Lucknow,No ,No,"19,000",No,fixed,,Nil,Nil,EE Maintenance Division 2 (Civil) PWD Lucknow,EE Maintenance Division 2 (Civil) PWD Lucknow,680.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,All documents scan original copies,AOC,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,08-Apr-2026 05:22 PM,finsummary_2055940.pdf (2720.66 KB),EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,08-Apr-2026 05:18 PM,techsummary_2055940.pdf (2720.66 KB),Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,2026_PWDBL_1111942_2,200/E-Tender/2025-26 dt. 29.01.2026,Vikramaditya Marg sthit Naya Mantri Awas No.-4 me main samanaya marammat ka karya.,1.0,5847104.0,PRADEEP KUMAR GUPTA,INR,"178,516",1,5847104,PRADEEP KUMAR GUPTA,07-Feb-2026 03:52 PM,Accepted-AOC,Financial bid is accepted at the Price Rs. 178516.00 By Executive Engineer Maintenance Division 2 (Civil) PWD Lucknow,08-Apr-2026 05:25 PM,08-Apr-2026,"INR 178,516",30.0,DILIP KUMAR,08-Apr-2026 05:25 PM,660.pdf (2114.00 KB),AOC for Acceptance No 660 date 07.04.2026,Finance,Evaluation Letter,DILIP KUMAR,17-Feb-2026 01:23 PM,finance_2055940.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,2,5849925,V Square Enterprises,07-Feb-2026 05:36 PM,Rejected-Finance,Financial bid Rejected due to L2,08-Apr-2026 05:22 PM,,,,,,,,,,,,,,AOC
