Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Madhyanchal Vidyut Vitran Nigam Ltd||C E - BAREILLY ZONE||S E - Bareilly (Rural),28/EDCB/2025-26,2026_MVVNL_1105971_2,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,"3,540","SE,EDC",BAREILLY,No,1.0,BG - Bank Guarantee,SUPERINTENDING ENGINEER,"ELECTRICITY DISTRIBUTION CIRCLE, KATJU MARG, BAREILLY",1,Fee,.pdf,Envelope 1(A) Tender Cost and Earnest Money,30-Jan-2026 09:00 AM,09-Feb-2026 12:00 PM,30-Jan-2026 09:00 AM,09-Feb-2026 11:00 AM,NA ,NA ,30-Jan-2026 09:00 AM,09-Feb-2026 11:00 AM,11-Feb-2026 11:00 AM,28/EDCB/2025-26,For Installation of Additional 11/0.4 KV 10 KVA nd 16 KVA Distribution Transformers at Various Places under EDC Bareilly (Additional B.P 2025-26),AS PER TENDER FORM ,NA ,"23,35,000",Electrical Works,NA ,Tender,180.0,90.0,WORK,243001.0,NA ,NA ,NA ,BAREILLY,No ,No,"23,350",No,fixed,,"SE,EDC",BAREILLY,1.0,28/EDCB/2025-26,Date,,AOC,Technical,all3 bidders qualified in techno commercial bid,GYANENDRA SINGH,11-Feb-2026 10:37 AM,technical_2051406.pdf,"Er Gyan Prakash, CE(D), BAREILLY ZONEIst, BAREILLY",Internal,,GYANENDRA SINGH,11-Feb-2026 03:26 PM,finsummary_2051406.pdf (255.50 KB),Finance,Financial bid opened of all bidders who qualified in technical bid,GYANENDRA SINGH,11-Feb-2026 11:19 AM,finance_2051406.pdf,BOQ Comparative Chart,"Er Gyan Prakash, CE(D), BAREILLY ZONEIst, BAREILLY",Internal,,GYANENDRA SINGH,11-Feb-2026 10:39 AM,11-Feb-2026 11:00 AM,techsummary_2051406.pdf (219.01 KB),16-Feb-2026,"INR 2,324,374.5",90.0,GYANENDRA SINGH,17-Apr-2026 10:53 AM,Agreement_tno28.pdf (2363.00 KB),For Installation of Additional 11/0.4 KV 10 KVA and 16 KVA Distribution Transformers at Various Places uner EDC Bareilly (Additional B.P 2025-26),1.0,5853530.0,BALAJI ENTERPRISES,INR,"2,324,374.5",Madhyanchal Vidyut Vitran Nigam Ltd||C E - BAREILLY ZONE||S E - Bareilly (Rural),2026_MVVNL_1105971_2,28/EDCB/2025-26,28/EDCB/2025-26,1,5853530,BALAJI ENTERPRISES,08-Feb-2026 06:16 PM,Accepted-AOC,Competent committee approved the tender in favour of Ist Lowest Bidder,17-Apr-2026 10:55 AM,AOC
,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,2,PreQual/Technical,.pdf,Envelope 1(B) Techno-Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5854644,M/S BEG ENTERPRISES,09-Feb-2026 12:53 AM,Rejected-AOC,Competent committee rejected the file due to higher rates,17-Apr-2026 10:55 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,3,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5853601,M/S HINA ELECTRICALS,08-Feb-2026 06:32 PM,Rejected-AOC,Competent committee rejected the file due to higher rates,17-Apr-2026 10:55 AM,AOC
