Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
12-Mar-2026,"INR 2,204,336.9",15.0,Binod kumar Singh,29-Apr-2026 02:18 PM,finsummary.pdf (740.00 KB),AOC,1.0,5946037.0,HARSHIT,INR,"2,204,336.9","U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh||BSDGC. Bulandshahar",2026_UPIDC_1118759_1,16/EE/2025-26,Construction work of boundary wall for protection of Kinhua Inspection House under Bulandshahr Division Ganga Canal Bulandshahr,1,5945770,AJAY SHARMA,05-Mar-2026 11:14 AM,Rejected-Technical,6(Viii),07-Mar-2026 07:11 PM,Technical,As per file attached,Binod kumar Singh,05-Mar-2026 07:30 PM,technical_2084220.pdf,EE BDGC BSR,Internal,As per file Attached,Binod kumar Singh,12-Mar-2026 01:14 PM,finsummary_2084220.pdf (739.59 KB),Finance,As per file Attached,Binod kumar Singh,11-Mar-2026 03:18 PM,finance_2084220.pdf,BOQ Comparative Chart,EE BDGC BSR,Internal,As per file Attached,Binod kumar Singh,07-Mar-2026 07:11 PM,09-Mar-2026 11:00 AM,techsummary_2084220.pdf (739.59 KB),AOC,354.0,Nil,Nil,No,1.0,SBI Bank,"68,000",Yes,percentage,2.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,tender,Construction work of boundary wall for protection of Kinhua Inspection House under Bulandshahr Division Ganga Canal Bulandshahr,Construction work of boundary wall for protection of Kinhua Inspection House under Bulandshahr Division Ganga Canal Bulandshahr,Please refer Tender documents. ,NA ,"34,00,000",Civil Works,NA ,Rate Contract,90.0,15.0,Bulandshahr,203001.0,NA ,NA ,NA ,Bulandshahr,No ,No,27-Feb-2026 09:00 AM,05-Mar-2026 03:00 PM,27-Feb-2026 09:00 AM,05-Mar-2026 02:00 PM,NA ,NA ,27-Feb-2026 09:00 AM,05-Mar-2026 02:00 PM,09-Mar-2026 11:00 AM,1.0,Fee Cori,Fee,,EE BDGC BSR,EE BDGC BSR,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh||BSDGC. Bulandshahar",16/EE/2025-26,2026_UPIDC_1118759_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,5945640,ARTIST BRO,03-Mar-2026 02:41 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5943750,ASHISH CHOUHAN,02-Mar-2026 01:53 PM,Rejected-Finance,L-4,12-Mar-2026 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5946037,HARSHIT,05-Mar-2026 11:29 AM,Accepted-AOC,AOC,29-Apr-2026 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5945663,M/S AGRE ASSOCIATES,05-Mar-2026 01:10 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5947310,M/S PUSHPENDER KUMAR SHARMA,05-Mar-2026 11:10 AM,Rejected-Finance,L-3,12-Mar-2026 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5945983,M/S SHREE JEE CONSTRUCTIONS,05-Mar-2026 12:05 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5947922,PRAGATI ASSOCIATES,05-Mar-2026 01:55 PM,Rejected-Finance,L-2,12-Mar-2026 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5945690,R.S. CONSTRUCTION,04-Mar-2026 06:13 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5947847,VMC SATCOM,05-Mar-2026 01:10 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
