Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
01-Apr-2026,"INR 2,946,175",90.0,Meenu Singh,03-Apr-2026 02:53 PM,F1.pdf (217.00 KB),Crate Agreement On Stamp Paper and Complete the job 90 days,1,5974671,A K ASSOCIATE,15-Mar-2026 03:00 PM,Rejected-Finance,Highest BID,30-Mar-2026 05:02 PM,1.0,5976155.0,M/S PANKJA CONSTRUCTION,INR,"2,946,175",Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,2026_DOLBU_1121877_1,690-1,Construction Of RCC Drain,Finance,Financial Bid opening summary,Meenu Singh,30-Mar-2026 04:53 PM,finance_2088102.pdf,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Meenu Singh,19-Mar-2026 06:37 PM,20-Mar-2026 12:00 PM,techsummary_2088102.pdf (128.39 KB),Technical,Technical Bid opening summary,Meenu Singh,19-Mar-2026 06:01 PM,technical_2088102.pdf,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Meenu Singh,30-Mar-2026 05:02 PM,finsummary_2088102.pdf (238.27 KB),AOC,"2,950",EO NPP Hata,Hata,No,Construction Of RCC Drain,Construction Of RCC Drain Deoria Mod To SB Lawn,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,ward no 1 baghnath,274203.0,NA ,NA ,NA ,EO NPP Hata,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,EO NPP Hata,EO NPP Hata,1,SS - Small Savings Instrument,"1,47,550",No,fixed,,EO NPP Hata,hata,Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,690-1,2026_DOLBU_1121877_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,05-Mar-2026 06:00 PM,17-Mar-2026 12:00 PM,06-Mar-2026 10:00 AM,16-Mar-2026 05:00 PM,NA ,NA ,06-Mar-2026 11:00 AM,16-Mar-2026 05:00 PM,20-Mar-2026 12:00 PM,AOC
,,,,,,,2,5976155,M/S PANKJA CONSTRUCTION,16-Mar-2026 04:02 PM,Accepted-AOC,Lowest BID,03-Apr-2026 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3,5975486,SAROJANI ASSOCIATES,15-Mar-2026 07:06 PM,Rejected-Finance,Highest BID,30-Mar-2026 05:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
