Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1129895_6,"1271/RED/Etender(35)/2025-26, Dt. 16.03.2026",Gram Panchayat Katghari Sugriv Singh ke majra Ahiranpur me Lathi ke ghar se Kashiram Jaiswal ke ghar ke paas tak inerlocking nirman karya-Huzoorpur_06,1.0,6026896.0,M/s Vikram Jaiswal,INR,"600,481.94",1,6028671,M/s Vaishnavi Construction,07-Apr-2026 11:47 PM,Rejected-Finance,High,13-Apr-2026 01:48 PM,18-Apr-2026,"INR 600,481.94",180.0,Sujit Kumar Sinha,18-Apr-2026 04:48 PM,Vikram.pdf (26.00 KB),Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,13-Apr-2026 01:48 PM,finsummary_2107750.pdf (44.08 KB),Technical,Technical bid open,Sujit Kumar Sinha,08-Apr-2026 01:16 PM,technical_2107750.pdf,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,10-Apr-2026 06:07 PM,13-Apr-2026 12:00 PM,techsummary_2107750.pdf (150.56 KB),Finance,Financial bid open,Sujit Kumar Sinha,13-Apr-2026 12:55 PM,finance_2107750.pdf,BOQ Comparative Chart,AOC,Gram Panchayat Katghari Sugriv Singh ke majra Ahiranpur me Lathi ke ghar se Kashiram Jaiswal ke ghar ke paas tak inerlocking nirman karya-Huzoorpur_06,Gram Panchayat Katghari Sugriv Singh ke majra Ahiranpur me Lathi ke ghar se Kashiram Jaiswal ke ghar ke paas tak inerlocking nirman karya-Huzoorpur_06,Please refer Tender documents. ,NA ,"5,09,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Engineer, R.E.D. Bahraich",No ,No,25-Mar-2026 12:00 PM,08-Apr-2026 12:30 PM,25-Mar-2026 12:00 PM,08-Apr-2026 12:00 PM,NA ,NA ,25-Mar-2026 12:00 PM,08-Apr-2026 12:00 PM,13-Apr-2026 12:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1271/RED/Etender(35)/2025-26, Dt. 16.03.2026",2026_REDUP_1129895_6,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical bid open,1.0,Corrigendum for date change,Date,,1.0,SBI Bank,788.0,Nil,Nil,No,"10,200",No,fixed,,Nil,Nil,Executive Enginer,"Office of the Executive Engineer, R.E.D. Bahraich",AOC
,,,,,,,,,2,6026896,M/s Vikram Jaiswal,07-Apr-2026 11:04 PM,Accepted-AOC,AOC,18-Apr-2026 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
