Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Varanasi)||Superintending Engineer (Tubewell) Allahabad||Executive Engineer(TCD) Allahabad,2026_UPIDM_1118810_1,06/EE/TWCD/2025-26,Drilling of Bore,1.0,5937026.0,SWAJAL CONSTRUCTION,INR,"157,600",1,5938609,M/s SAURABH ENTERPRISES,26-May-2026 04:55 PM,Rejected-Finance,L2,25-Apr-2026 11:43 AM,25-Apr-2026,"INR 157,600",90.0,Gaurav Srivastava,25-Apr-2026 11:46 AM,boqh.pdf (23.00 KB),L1,Sri Gaurav Srivastava EE TCD Prayagraj,Internal,Sri Shashteshwar Nath EE MLCD Prayagraj Sri Shivaji Verma DA TCD Prayagraj,Gaurav Srivastava,25-Apr-2026 11:43 AM,finsummary_2079794.pdf (23.25 KB),Technical,technically qualified,Gaurav Srivastava,07-Mar-2026 04:41 PM,technical_2079794.pdf,Sri Gaurav Srivastava EE TCD Prayagraj,Internal,Sri Shashteshwar Nath EE MLCD Prayagarj Sri Shivaji Verma DA TCD Prayagraj,Gaurav Srivastava,07-Mar-2026 04:46 PM,07-Mar-2026 05:15 PM,techsummary_2079794.pdf (464.38 KB),Finance,financially qualified,Gaurav Srivastava,07-Mar-2026 05:29 PM,finance_2079794.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,DOC,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Varanasi)||Superintending Engineer (Tubewell) Allahabad||Executive Engineer(TCD) Allahabad,06/EE/TWCD/2025-26,2026_UPIDM_1118810_1,Yes,Open Tender,Piece-work,Works,2.0,No,No,Online,No,No,No,21-Feb-2026 11:00 AM,05-Mar-2026 02:00 PM,21-Feb-2026 11:00 AM,28-Feb-2026 05:00 PM,NA ,NA ,21-Feb-2026 11:00 AM,28-Feb-2026 05:00 PM,07-Mar-2026 05:15 PM,589.0,Nil,Nil,No,Drilling of Bore,Drilling of Bore (600x450mm) of state tubewell of 150 mtr depth of 1.5 cusec capacity to provide irrigation facility in Vill-Chak Judawan Block-Gyanpur District-Bhadohi. GST Extra,Please refer Tender documents. ,NA ,"2,02,500",Solid Waste Management,NA ,Tender,90.0,90.0,Vill-Chak Judawan Block-Gyanpur District-Bhadohi.,221401.0,NA ,NA ,NA ,Office EE TWCD Prayagraj,No ,No,EE TWCD Prayagraj,Office EE TWCD Prayagraj,"4,050",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,AOC
,,,,,,,,,2,5938219,SHIV SHAKTI BOREWELL,27-Feb-2026 03:39 PM,Rejected-Finance,L3,25-Apr-2026 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5937026,SWAJAL CONSTRUCTION,27-Feb-2026 12:20 PM,Accepted-AOC,L1,25-Apr-2026 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
