Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
29-Apr-2026,"INR 1,727,480",90.0,RAJNEESH KUMAR,29-Apr-2026 05:33 PM,saraswati.pdf (1185.00 KB),final,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1123254_3,3428/RED/Tender/2025-26 Dt. 03-02-2026,Mauranipur Nagar main Saraswati Vidhya Mandir main Nadi kinare Apex Nirman karya,1.0,5971128.0,M/s DEVEWALIYA CONSTRUCTION,INR,"1,727,480",1,5971139,LUCKY ENTERPRISES,16-Mar-2026 08:06 AM,Rejected-Finance,n,29-Apr-2026 05:31 PM,Technical,final,RAJNEESH KUMAR,18-Apr-2026 11:34 AM,technical_2092556.pdf,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,29-Apr-2026 05:31 PM,finsummary_2092556.pdf (1184.67 KB),Finance,final,RAJNEESH KUMAR,29-Apr-2026 05:29 PM,finance_2092556.pdf,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,18-Apr-2026 11:52 AM,21-Apr-2026 12:30 PM,techsummary_2092556.pdf (251.91 KB),AOC,1,Fee/PreQual/Technical,.pdf,sbd,"2,354",Nil,Nil,No,"87,000",Yes,fixed,,Nil,Nil,10-Mar-2026 02:00 PM,16-Mar-2026 03:30 PM,10-Mar-2026 02:00 PM,16-Mar-2026 12:00 PM,NA ,NA ,10-Mar-2026 02:00 PM,16-Mar-2026 12:00 PM,21-Apr-2026 12:30 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,3428/RED/Tender/2025-26 Dt. 03-02-2026,2026_REDUP_1123254_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED Jhansi,EE RED Jhansi,Mauranipur Nagar main Saraswati Vidhya Mandir main Nadi kinare Apex Nirman karya,Mauranipur Nagar main Saraswati Vidhya Mandir main Nadi kinare Apex Nirman karya,Please refer Tender documents. ,NA ,"17,37,000",Civil Works,NA ,Tender,90.0,90.0,Mauranipur Nagar main Saraswati Vidhya Mandir main,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,2,5971128,M/s DEVEWALIYA CONSTRUCTION,16-Mar-2026 08:36 AM,Accepted-AOC,y,29-Apr-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
