Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
06-Apr-2026,"INR 1,033,186",90.0,Aniruddh Kumar Yadav,13-Apr-2026 06:01 PM,Dariyapur.pdf (541.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1119696_2,1103/RED/Chandauli/25-26 Date-10-02-2026,Vikas Khand Sakaldiha ke Gram Sabha Dariyapur me nahar ke paas pakki sadak se Kali Mata Mandir tak kharanja ka nirman kary.,1.0,5958147.0,M/S PRABHU CONSTRUCTION,INR,"1,033,186",1,5958147,M/S PRABHU CONSTRUCTION,09-Mar-2026 12:16 PM,Accepted-AOC,Lowest bidder,13-Apr-2026 06:01 PM,Technical,bids received,Aniruddh Kumar Yadav,13-Mar-2026 05:11 PM,,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,25-Mar-2026 06:32 PM,finsummary_2082346.pdf (785.54 KB),Finance,bids received,Aniruddh Kumar Yadav,17-Mar-2026 01:05 PM,,BOQ Comparative Chart,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,13-Mar-2026 05:25 PM,17-Mar-2026 11:00 AM,techsummary_2082346.pdf (725.01 KB),AOC,"1,016",Nil,Nil,No,24-Feb-2026 03:00 PM,10-Mar-2026 12:30 PM,24-Feb-2026 03:00 PM,10-Mar-2026 12:00 PM,NA ,NA ,24-Feb-2026 03:00 PM,10-Mar-2026 12:00 PM,17-Mar-2026 11:00 AM,1,Fee/PreQual/Technical,.pdf,EMD Fees and Technical Document,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,1103/RED/Chandauli/25-26 Date-10-02-2026,2026_REDUP_1119696_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED Chandauli,EE RED Chandauli,1.0,SBI Bank,Vikas Khand Sakaldiha ke Gram Sabha Dariyapur me nahar ke paas pakki sadak se Kali Mata Mandir tak kharanja ka nirman kary.,Vikas Khand Sakaldiha ke Gram Sabha Dariyapur me nahar ke paas pakki sadak se Kali Mata Mandir tak kharanja ka nirman kary.,Please refer Tender documents. ,NA ,"10,35,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Sakaldiha,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,"21,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,5958192,SWAMI CONSTRUCTION,09-Mar-2026 12:38 PM,Rejected-Finance,Reject due to higher rate,25-Mar-2026 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
