EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"3,83,579",No,percentage,10.0%,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,1.0,FDR - Fixed Deposit,SHAHNAZAR COLONY ME RIHAN KE MAKAN SE ASHU KE MAKAN TAK MOBIN SE RAHISUDIN V SHAHID SE RASHID TAK NALI V CC DWARA SADAK NIRMAN KARY,SHAHNAZAR COLONY ME RIHAN KE MAKAN SE ASHU KE MAKAN TAK MOBIN SE RAHISUDIN V SHAHID SE RASHID TAK NALI V CC DWARA SADAK NIRMAN KARY,Please refer Tender documents. ,NA ,"38,35,792",Civil Works,NA ,Tender,90.0,30.0,WORK,251201.0,NA ,NA ,NA ,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,No ,No,16-Mar-2026 02:00 PM,06-Apr-2026 02:00 PM,16-Mar-2026 02:00 PM,06-Apr-2026 12:00 PM,NA ,NA ,16-Mar-2026 02:00 PM,06-Apr-2026 12:00 PM,10-Apr-2026 03:00 PM,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,"6,789",EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,No,Directorate of Local Bodies UP||Nagar Palika Parishad Khatauli Muzaffarnagar,1169/08/NPPKHT/2025-26 DATE-16/03/2026,2026_DOLBU_1125465_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,CHAIRMAN EO JE,Internal,CHAIRMAN EO JE,Rajeev Kumar,10-Apr-2026 12:55 PM,10-Apr-2026 03:00 PM,techsummary_2097980.pdf (1701.51 KB),Finance,finance,Rajeev Kumar,11-Apr-2026 05:46 PM,finance_2097980.pdf,BOQ Comparative Chart,CHAIRMAN EO JE,Internal,,Rajeev Kumar,12-Apr-2026 04:53 PM,finsummary_2097980.pdf (1781.34 KB),Technical,ATTANADNCE,Rajeev Kumar,09-Apr-2026 11:50 AM,technical_2097980.pdf,1.0,6029659.0,RAKESH KUMAR CONTRECTOR,INR,"3,818,531",Directorate of Local Bodies UP||Nagar Palika Parishad Khatauli Muzaffarnagar,2026_DOLBU_1125465_1,1169/08/NPPKHT/2025-26 DATE-16/03/2026,SHAHNAZAR COLONY ME RIHAN KE MAKAN SE ASHU KE MAKAN TAK MOBIN SE RAHISUDIN V SHAHID SE RASHID TAK NALI V CC DWARA SADAK NIRMAN KARY,1,6029276,ASHWANI KUMAR CONTRACTOR,04-Apr-2026 01:40 PM,Rejected-Finance,L2,12-Apr-2026 04:53 PM,13-Apr-2026,"INR 3,818,531",30.0,Sharvan Kumar,17-Apr-2026 04:14 PM,work08.pdf (404.00 KB),AOC
,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6029659,RAKESH KUMAR CONTRECTOR,04-Apr-2026 05:51 PM,Accepted-AOC,L1,17-Apr-2026 04:14 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6029330,T H CONSTRUCTION CO,04-Apr-2026 02:44 PM,Rejected-Finance,L3,12-Apr-2026 04:53 PM,,,,,,,AOC
