Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
07-Mar-2026 10:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,30-Mar-2026 04:45 PM,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,1.0,SBI Bank,NIT06 LOT09,NIT06 LOT09,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,TANDA AMBEDKAR ANGAR,224190.0,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA ,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA ,07-Mar-2026 11:00 AM ,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA,No ,No,"6,963",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",06/SE-XI/2025-26,2026_UPIDC_1122365_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA,"7,25,000",No,fixed,,Nil,Nil,AOC,Technical,ALL BID HAS BEEN ADMITED,Dhruva Chandra Verma,30-Mar-2026 04:06 PM,,DC VERMA,Internal,,Dhruva Chandra Verma,09-Apr-2026 08:27 AM,finsummary_2089900.pdf (296.20 KB),Finance,all bid has been admitted,Dhruva Chandra Verma,09-Apr-2026 08:18 AM,,BOQ Comparative Chart,DC VERMA,Internal,DC VERMA SE XITH CIRCLE IW AYODHYA AND BP SINGH SE 7TH CIRCLE IW LUCKNOW,Dhruva Chandra Verma,30-Mar-2026 04:13 PM,30-Mar-2026 04:45 PM,techsummary_2089900.pdf (1289.89 KB),09-Apr-2026,"INR 27,803,416.75",90.0,Dhruva Chandra Verma,09-Apr-2026 10:01 AM,aoc.pdf (430.00 KB),1,5963091,Desh Dipak Pandey,13-Mar-2026 03:18 AM,Rejected-Finance,L13,09-Apr-2026 08:27 AM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",2026_UPIDC_1122365_9,06/SE-XI/2025-26,NIT06 LOT09,1.0,5969119.0,M/S SHUKLA ASSOCIATES,INR,"27,803,416.75",1.0,Tender Revocation,Tender Revocation,30-Mar-2026 11:06 AM,revokelot09.pdf ,121.35,Technical Opening,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5970264,M/S ANJALI TRADERS,13-Mar-2026 01:48 PM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,30-Mar-2026 04:13 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5970276,M/s B.B.Goyal,13-Mar-2026 01:45 PM,Rejected-Finance,L11,09-Apr-2026 08:27 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5966422,M/S CHAUDHARY ENTERPRISES,12-Mar-2026 06:19 PM,Rejected-Finance,L5,09-Apr-2026 08:27 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5969623,M/S GYAN PRAKASH,13-Mar-2026 09:32 AM,Rejected-Technical,QUALIFY WITH TECHNICAL SPECIFICATION,30-Mar-2026 04:13 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5969799,M/S JAI BAJRANG BALI CONSTRUCTION,13-Mar-2026 12:13 PM,Rejected-Finance,L4,09-Apr-2026 08:27 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5968733,M/S OBELION CONSTRUCTIONS,12-Mar-2026 08:56 PM,Rejected-Finance,L2,09-Apr-2026 08:27 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5969586,M/S PRABHAT TRADERS,13-Mar-2026 11:48 AM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,30-Mar-2026 04:13 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5969704,M/s Rai Construction,13-Mar-2026 12:15 PM,Rejected-Finance,L8,09-Apr-2026 08:27 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5963581,M/S RAVINDRA SINGH,13-Mar-2026 12:03 PM,Rejected-Finance,L10,09-Apr-2026 08:27 AM,,,,,,,,,,,,,,,,,AOC
