S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,SBI Bank,12-Mar-2026 06:50 PM,27-Mar-2026 12:30 PM,12-Mar-2026 06:50 PM,27-Mar-2026 12:00 PM,NA ,NA ,12-Mar-2026 06:50 PM,27-Mar-2026 12:00 PM,07-Apr-2026 11:00 AM,EE RED Chandauli,EE RED Chandauli,1,Fee/PreQual/Technical,.pdf,EMD and Technical Document,Vikash khand Sakaldiha ke Gram Panchayat Kori mein Ram Niwas (Pappu) ke zameen se Shambhu Yadav ke makan tak sivar w interlocking ka nirman kary.,Vikash khand Sakaldiha ke Gram Panchayat Kori mein Ram Niwas (Pappu) ke zameen se Shambhu Yadav ke makan tak sivar w interlocking ka nirman kary.,Please refer Tender documents. ,NA ,"13,00,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Sakaldiha,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,"26,000",No,fixed,,Nil,Nil,1.0,Date Extended.,Date,,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,965/RED/Chandauli/25-26 Date-01-01-2026,2026_REDUP_1124422_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,016",Nil,Nil,No,AOC,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,30-Mar-2026 06:27 PM,07-Apr-2026 11:00 AM,techsummary_2095736.pdf (423.17 KB),Finance,bids received,Aniruddh Kumar Yadav,07-Apr-2026 02:50 PM,,BOQ Comparative Chart,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,09-Apr-2026 06:50 PM,finsummary_2095736.pdf (252.19 KB),Technical,bids received,Aniruddh Kumar Yadav,30-Mar-2026 05:04 PM,,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1124422_8,965/RED/Chandauli/25-26 Date-01-01-2026,Vikash khand Sakaldiha ke Gram Panchayat Kori mein Ram Niwas (Pappu) ke zameen se Shambhu Yadav ke makan tak sivar w interlocking ka nirman kary.,1.0,5993328.0,SIDDHARTH CONSTRUCTION AND SUPPLIERS,INR,"1,299,659",1,5993328,SIDDHARTH CONSTRUCTION AND SUPPLIERS,20-Mar-2026 05:52 PM,Accepted-AOC,1st Lowest,27-Apr-2026 05:43 PM,22-Apr-2026,"INR 1,299,659",90.0,Aniruddh Kumar Yadav,27-Apr-2026 05:43 PM,Kori.pdf (391.00 KB),AOC
,,,,,,,,,,,,,2,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5993282,VIKAS CONSTRACTION,25-Mar-2026 11:08 AM,Rejected-Finance,Reject due to higher rate,09-Apr-2026 06:50 PM,,,,,,,AOC
