Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2026_REDUP_1121962_1,2373/EE/RED/dt-17-02-2026,lot-14 gram karampur jai narayan rajbhar ke ghar se ramashankar prasad anusuchit basti ke tarafh cc,1.0,5970597.0,DIWAN YADAV,INR,"846,401",1,5970597,DIWAN YADAV,14-Mar-2026 02:24 PM,Accepted-AOC,AOC,23-Apr-2026 12:55 PM,23-Apr-2026,"INR 846,401",90.0,ROLI VISHVKARMA,23-Apr-2026 12:55 PM,RispansivNonRispansiv2373.pdf (38.00 KB),AEDAO,ee,Internal,AEDAO,ROLI VISHVKARMA,02-Apr-2026 01:01 PM,04-Apr-2026 10:00 AM,techsummary_2088534.pdf (37.56 KB),Finance,AEDAO,SANJEEV KUMAR,07-Apr-2026 01:41 PM,finance_2088534.pdf,BOQ Comparative Chart,ee,Internal,AEDAO,Ratnesh Kumar Gond,22-Apr-2026 04:57 PM,finsummary_2088534.pdf (37.63 KB),Technical,NIT,ROLI VISHVKARMA,18-Mar-2026 06:32 PM,technical_2088534.pdf,AOC,1,Fee/PreQual/Technical,.pdf,sbd,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2373/EE/RED/dt-17-02-2026,2026_REDUP_1121962_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,EE RED DIV BALLIA,EE RED DIV BALLIA,"18,000",Yes,fixed,,Nil,Nil,856.0,Nil,Nil,No,10-Mar-2026 09:00 AM,17-Mar-2026 12:30 PM,10-Mar-2026 09:00 AM,16-Mar-2026 12:00 PM,NA ,NA ,10-Mar-2026 09:00 AM,16-Mar-2026 12:00 PM,04-Apr-2026 10:00 AM,lot-14 gram karampur jai narayan rajbhar ke ghar se ramashankar prasad anusuchit basti ke tarafh cc,lot-14 gram karampur jai narayan rajbhar ke ghar se ramashankar prasad anusuchit basti ke tarafh cc,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,NA ,BALLIA,277001.0,EE RED DIV BALLIA ,EE RED DIV BALLIA ,12-Mar-2026 09:00 AM ,EE RED DIV BALLIA,No ,No,AOC
,,,,,,,,,2,5970611,M/S KAPILESHWARI CONSTRUCTION,14-Mar-2026 03:32 PM,Rejected-Finance,2Lowest,22-Apr-2026 04:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
