Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
08-Apr-2026,"INR 5,144,389.07",180.0,SURESH CHANDRA YADAV,08-Apr-2026 05:39 PM,Agr114.pdf (344.00 KB),Enclosed,1,5951393,gyan singh,06-Mar-2026 10:09 PM,Accepted-AOC,Accept,08-Apr-2026 05:39 PM,1.0,5951393.0,gyan singh,INR,"5,144,389.07",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,2026_UPPRC_1120156_1,106/UPPCL/GM-1/ETENDER/2025-26 Date-19.02.2026,"Construction Work of the Circle Officers Office in Nagar Pancham, District-Prayagraj (U.P.)",Finance,Enclosed,SURESH CHANDRA YADAV,08-Apr-2026 05:32 PM,finance_2083497.pdf,BOQ Comparative Chart,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-2, Prayagraj, Accountant Unit-2, Prayagraj, Project Manager Unit-16, Mirzapur",SURESH CHANDRA YADAV,10-Mar-2026 12:40 PM,10-Mar-2026 04:00 PM,techsummary_2083497.pdf (1161.40 KB),Technical,Enclosed,SURESH CHANDRA YADAV,10-Mar-2026 12:36 PM,technical_2083497.pdf,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-2, Prayagraj, Accountant Uni2, Prayagraj, Project Manager Uni-16, MIrzapur",SURESH CHANDRA YADAV,08-Apr-2026 05:35 PM,finsummary_2083497.pdf (1161.40 KB),AOC,"11,800",Nil,Nil,No,1.0,SBI Bank,"Construction Work of the Circle Officers Office in Nagar Pancham, District-Prayagraj (U.P.)","Construction Work of the Circle Officers Office in Nagar Pancham, District-Prayagraj (U.P.)",Please refer Tender documents. ,NA ,"51,74,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,District-Prayagraj (U.P.),211001.0,NA ,NA ,NA ,Prayagraj,No ,No,27-May-2026 04:52 PM,07-Mar-2026 03:00 PM,27-May-2026 04:52 PM,07-Mar-2026 02:00 PM,NA ,NA ,27-Feb-2026 11:00 AM,07-Mar-2026 02:00 PM,10-Mar-2026 04:00 PM,1,Fee/PreQual/Technical,.pdf,BIDDOC,"General Manager, Zone-1, Prayagraj.","General Manager, Zone-1, U. P. Projects Corporation Ltd. 230 /1A, Mehdaury, Telirayganj District-Prayagraj.","1,04,000",No,fixed,,Nil,Nil,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,106/UPPCL/GM-1/ETENDER/2025-26 Date-19.02.2026,2026_UPPRC_1120156_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,2,5951378,SHANTI CONSTRUCTION,06-Mar-2026 10:32 PM,Rejected-AOC,Accept,08-Apr-2026 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
