EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"13,540",No,fixed,,BDO NAGRA,NAGRA,BDO NAGRA,BDO OFFICE NAGRA,700.0,BDO NAGRA,NAGRA,No,24-Mar-2026 05:49 PM,06-Apr-2026 12:00 PM,24-Mar-2026 10:00 AM,04-Apr-2026 05:00 PM,NA ,NA ,24-Mar-2026 10:00 AM,04-Apr-2026 05:00 PM,08-Apr-2026 05:49 PM,Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Nagra,1274 Date 20-03-2026 Lot No - 9,2026_RDUP_1129001_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,DD - Demand Draft,praathamik vidyaalay kishoraganj mein opan jim ka nirmaan kaary.,praathamik vidyaalay kishoraganj mein opan jim ka nirmaan kaary.,NIT ,NA ,"6,77,000",Civil Works,NA ,Tender,90.0,90.0,KP NAGRA,221711.0,NA ,NA ,NA ,BDO OFFICE NAGRA,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC,10-Apr-2026,"INR 676,458.4",90.0,ABHINENDRA SINGH,10-Apr-2026 05:06 PM,9.pdf (57.00 KB),AOC,1.0,6029076.0,DIWAN YADAV,04-Apr-2026 12:45 PM,Rejected-AOC,L2,10-Apr-2026 05:06 PM,"ABHINENDRA SINGH, BDO PRAVIN CHANDRA BARNAWAL, JERED VIJAYANT PRATAP SINGH, ACCOUNTANT",Internal,,ABHINENDRA SINGH,07-Apr-2026 09:36 PM,08-Apr-2026 10:00 AM,techsummary_2105985.pdf (343.01 KB),Finance,Bid Opening Summary,ABHINENDRA SINGH,08-Apr-2026 07:28 PM,,BOQ Comparative Chart,Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Nagra,2026_RDUP_1129001_1,1274 Date 20-03-2026 Lot No - 9,praathamik vidyaalay kishoraganj mein opan jim ka nirmaan kaary.,Technical,Bid Opening Summary,ABHINENDRA SINGH,07-Apr-2026 06:02 PM,,"ABHINENDRA SINGH, BDO PRAVIN CHANDRA BARNAWAL, JERED VIJAYANT PRATAP SINGH, ACCOUNTANT",Internal,,ABHINENDRA SINGH,10-Apr-2026 04:23 PM,finsummary_2105985.pdf (343.01 KB),1.0,6028058.0,M/S MAA DURGA ENTERPRISES,INR,"676,458.4",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,AOC,,,,,,,,2.0,6028695.0,M/s Gauri Enterprises,04-Apr-2026 12:54 AM,Rejected-AOC,L3,10-Apr-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,6028058.0,M/S MAA DURGA ENTERPRISES,03-Apr-2026 05:03 PM,Accepted-AOC,L1,10-Apr-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
