Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
21-Apr-2026,"INR 1,883,510",60.0,Rajendra Nath Chaturvedi,30-Apr-2026 09:44 PM,AOC_1720_03.pdf (713.00 KB),1,6039762,M/s Prakhar Enterprises,10-Apr-2026 11:02 AM,Rejected-Finance,2nd Lowest Bidder,21-Apr-2026 05:25 PM,1.0,6033448.0,SHIV KUMAR,INR,"1,883,510",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2026_REDUP_1132521_1,1720_03/Mpy/KHERI/2025-26,"In reference to acceptance letter No. 2696 dated 06.03.2026, the installation work of 12 Nos. 6-way semi high mast lights at various locations in Development Block Bankeganj.",Finance,Recommended for Financial Evaluation,Rajendra Nath Chaturvedi,20-Apr-2026 05:03 PM,finance_2113766.pdf,BOQ Comparative Chart,Hemant Saxena,Internal,,Hemant Saxena,16-Apr-2026 02:55 PM,20-Apr-2026 12:00 PM,techsummary_2113766.pdf (743.53 KB),Technical,Recommended for Technical Evaluation,Rajendra Nath Chaturvedi,13-Apr-2026 12:42 PM,technical_2113766.pdf,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,21-Apr-2026 05:25 PM,finsummary_2113766.pdf (961.09 KB),AOC,"In reference to acceptance letter No. 2696 dated 06.03.2026, the installation work of 12 Nos. 6-way semi high mast lights at various locations in Development Block Bankeganj.","In reference to acceptance letter No. 2696 dated 06.03.2026, the installation work of 12 Nos. 6-way semi high mast lights at various locations in Development Block Bankeganj.",Please Refer Tender Document ,NA ,"18,93,500",Electrical Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,06-Apr-2026 12:00 PM,13-Apr-2026 05:16 PM,06-Apr-2026 12:00 PM,13-Apr-2026 12:00 PM,NA ,NA ,06-Apr-2026 12:00 PM,13-Apr-2026 12:00 PM,20-Apr-2026 05:16 PM,Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur Kheri,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical PDF,"38,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,1720_03/Mpy/KHERI/2025-26,2026_REDUP_1132521_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,944.0,Nil,Nil,No,AOC
,,,,,,2,6033448,SHIV KUMAR,06-Apr-2026 06:50 PM,Accepted-AOC,Accepted,30-Apr-2026 09:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,AOC
