Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,274/SE/E-TENDER/2025-26,2026_UPRNS_1120328_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,BG - Bank Guarantee,CONSTRUCTION OF BARRACK (30 PERSON CAPACITY- 2 NOS.(G AND F)) AT CENTRAL JAIL AGRA IN DISTRICT - AGRA (U.P),CONSTRUCTION OF BARRACK (30 PERSON CAPACITY- 2 NOS.(G AND F)) AT CENTRAL JAIL AGRA IN DISTRICT - AGRA (U.P),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,270.0,"CENTRAL JAIL, AGRA",282002.0,NA ,NA ,NA ,AGRA,No ,No,26-Feb-2026 03:30 PM,17-May-2026 04:50 PM,26-Feb-2026 03:30 PM,16-Mar-2026 05:00 PM,NA ,NA ,26-Feb-2026 03:30 PM,16-Mar-2026 05:00 PM,19-Mar-2026 10:00 AM,SUPERINTENDENT ENGINEER,"06, RAJSHREE GARDEN, DAYAL BAGH, AGRA",1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"6,26,400",No,fixed,,EE,AGRA,"8,850",EE,AGRA,No,AOC,Finance,WE HAVE RECEIVED FINANCIAL BID,NAGENDRA YADAV,19-Mar-2026 04:18 PM,finance_2083907.pdf,BOQ Comparative Chart,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,18-Mar-2026 04:20 PM,19-Mar-2026 10:00 AM,techsummary_2083907.pdf (296.14 KB),Technical,WE HAVE RECEIVED TECHNICAL BID,NAGENDRA YADAV,18-Mar-2026 04:15 PM,technical_2083907.pdf,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,19-Mar-2026 04:42 PM,finsummary_2083907.pdf (296.14 KB),25-Mar-2026,"INR 31,292,945.6",270.0,NAGENDRA YADAV,02-Apr-2026 01:09 PM,274.pdf (66.00 KB),QUOTED AMOUNT LOWER THEN OTHER BIDER,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,2026_UPRNS_1120328_1,274/SE/E-TENDER/2025-26,CONSTRUCTION OF BARRACK (30 PERSON CAPACITY- 2 NOS.(G AND F)) AT CENTRAL JAIL AGRA IN DISTRICT - AGRA (U.P),1.0,5957213.0,M.S. Construction,INR,"31,292,945.6",1,5957213,M.S. Construction,08-Mar-2026 07:59 PM,Accepted-AOC,QUOTED AMOUNT LOWER THEN OTHER BIDER,02-Apr-2026 01:09 PM,AOC
,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5977525,prabhat associates,16-Mar-2026 11:57 AM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,19-Mar-2026 04:42 PM,AOC
,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5973157,Sapna Associates,14-Mar-2026 07:32 PM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,19-Mar-2026 04:42 PM,AOC
