Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1116654_1,6269(251)/NNA/2025-26,NIRMAN WORK,1.0,5935288.0,UMA SHANKAR SHARMA,INR,"1,348,079.2",1,5935315,M/S AVADHESH SHARMA,27-Feb-2026 01:57 PM,Rejected-Finance,OK,15-Apr-2026 03:53 PM,26-Apr-2026,"INR 1,348,079.2",30.0,Rajvir Singh,26-Apr-2026 01:33 PM,cammetti.pdf (193.00 KB),ok,CE,Internal,EE,Rajvir Singh,15-Apr-2026 03:53 PM,finsummary_2077455.pdf (322.06 KB),Technical,All Documents Completed,Rajvir Singh,07-Apr-2026 01:53 PM,technical_2077455.pdf,CE,Internal,EE,Rajesh Kumar,07-Apr-2026 02:12 PM,07-Apr-2026 02:30 PM,techsummary_2077455.pdf (193.42 KB),Finance,ok,Rajvir Singh,15-Apr-2026 12:48 PM,,BOQ Comparative Chart,AOC,NIRMAN WORK,NIRMAN WORK,Please refer Tender documents. ,A ,"13,52,000",Civil Works,NA ,Tender,90.0,30.0,ALIGARH,202001.0,NA ,NA ,NA ,NAGAR NIGAM ALIGARH,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"1,35,000",No,fixed,,Nil,Nil,EE,NAGAR NIGAM ALIGARH,1.0,SBI Bank,21-Feb-2026 06:23 PM,28-Feb-2026 11:00 AM,21-Feb-2026 05:00 PM,27-Feb-2026 05:00 PM,NA ,NA ,21-Feb-2026 05:00 PM,27-Feb-2026 05:00 PM,07-Apr-2026 02:30 PM,Directorate of Local Bodies UP||Aligarh Municipal Corporation,6269(251)/NNA/2025-26,2026_DOLBU_1116654_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,360",Nil,Nil,No,AOC
,,,,,,,,,2,5935354,M/S SUNITA SHARMA,27-Feb-2026 02:43 PM,Rejected-Finance,OK,15-Apr-2026 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5935288,UMA SHANKAR SHARMA,27-Feb-2026 01:21 PM,Accepted-AOC,ok,26-Apr-2026 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
