Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
29-Apr-2026,"INR 17,097,886.7",120.0,Usman Ali,29-Apr-2026 02:23 PM,Date.pdf (330.00 KB),AOC,1.0,5988042.0,M/S UNITE ENTERPRISES,INR,"17,097,886.7","U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||Irrigation Works Circle, Banda",2026_UPIDC_1123862_1,05/SE/2025-26,Restoration of 03 Numbers Bandhi (Gandhauli Bandhi No 01 Gandhauli Bandhi No 02 and Sursen) in Rajapur Block District Chitrkoot (LOT-01),1,5987852,ANITA SINGH CONTRACTOR AND SUPPLIEYER,19-Mar-2026 01:39 PM,Rejected-Technical,All Bid Rejected in Technical Evaluation,25-Mar-2026 06:22 PM,Finance,Financial Evaluation,Usman Ali,29-Apr-2026 02:08 PM,finance_2094114.pdf,BOQ Comparative Chart,Usman Ali,Internal,Usman Ali Superintending Engineer Irrigation Work Circle Banda Brijesh Kumar Superintending Engineer 4th Circle Irrigation Work Jhansi,Usman Ali,25-Mar-2026 06:22 PM,28-Mar-2026 06:00 PM,techsummary_2094114.pdf (682.12 KB),Technical,Technical Evaluation,Usman Ali,25-Mar-2026 06:10 PM,technical_2094114.pdf,Usman Ali,Internal,Usman Ali Superintending Engineer Irrigation Work Circle Banda BRIJESH KUMAR Superintending Engineer 4th Circle Irrigation Work Jhansi,Usman Ali,29-Apr-2026 02:17 PM,finsummary_2094114.pdf (466.61 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Technical,"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||Irrigation Works Circle, Banda",05/SE/2025-26,2026_UPIDC_1123862_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,Restoration of 03 Numbers Bandhi (Gandhauli Bandhi No 01 Gandhauli Bandhi No 02 and Sursen) in Rajapur Block District Chitrkoot (LOT-01),Restoration of 03 Numbers Bandhi (Gandhauli Bandhi No 01 Gandhauli Bandhi No 02 and Sursen) in Rajapur Block District Chitrkoot (LOT-01),Please refer Tender documents. ,NA ,"3,07,27,000",Civil Works,NA ,Tender,90.0,120.0,Chitrakoot,210205.0,Irrigation Work Circle Banda ,Irrigation Work Circle Banda ,13-Mar-2026 11:00 AM ,Irrigation Work Circle Banda,No ,No,"6,15,000",No,fixed,,Nil,Nil,1.0,SBI Bank,"2,354",Nil,Nil,No,13-Mar-2026 11:00 AM,19-Mar-2026 03:00 PM,13-Mar-2026 11:00 AM,19-Mar-2026 02:30 PM,NA ,NA ,13-Mar-2026 11:00 AM,19-Mar-2026 02:30 PM,28-Mar-2026 06:00 PM,Supertending Engineer,Irrigation Work Circle Banda,AOC
,,,,,,,,,,,,,,,,2,5984536,KAMLESH KUMAR,19-Mar-2026 01:13 PM,Rejected-Finance,L-3,29-Apr-2026 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5987828,m/s ankur and brothers,19-Mar-2026 10:28 AM,Rejected-Technical,All Bid Rejected in Technical Evaluation,25-Mar-2026 06:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5988876,M/s Bajrang Construction & Suppliars,19-Mar-2026 01:59 PM,Rejected-Technical,All Bid Rejected in Technical Evaluation,25-Mar-2026 06:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5988532,M/S CHAUDHARY ENTERPRISES,19-Mar-2026 02:26 PM,Rejected-Finance,L-4,29-Apr-2026 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5988758,M/S DHARMSHEELA CONSTRUCTION,19-Mar-2026 02:23 PM,Rejected-Finance,L-2,29-Apr-2026 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5984156,M/S SAVITA SINGH,18-Mar-2026 10:50 PM,Rejected-Technical,All Bid Rejected in Technical Evaluation,25-Mar-2026 06:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5988813,M/S SURESH CHANDRA GUPTA,19-Mar-2026 01:44 PM,Rejected-Finance,L-6,29-Apr-2026 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5988042,M/S UNITE ENTERPRISES,19-Mar-2026 11:56 AM,Accepted-AOC,L-1,29-Apr-2026 02:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5988437,M/S VIVEK KUMAR SINGH,19-Mar-2026 01:00 PM,Rejected-Finance,L-5,29-Apr-2026 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
