Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Dataganj Badaun,351/nppdataganj/2025-26 date 09.02.2026,2026_DOLBU_1113903_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,date corrigendum3,Date,,"21,638",Yes,fixed,,EXECUTIVE OFFICER,Npp dataganj,1.0,Fee/PreQual/Technical,.pdf,nitdocument,CIVIL_WORK,NAGAR PALIKA PARISHAD DATAGANJ ME AVASTHIT SHIV MANDIR PARA ME WATER QUIOSK AVAM BAINCH KA NIRMAN KARYE,Please refer Tender documents. ,NA ,"2,16,384",Civil Works,NA ,Tender,90.0,90.0,WARD NO 24,243635.0,NA ,NA ,NA ,NPP DATAGANJ,No ,No,1,BG - Bank Guarantee,10-Feb-2026 10:00 AM,25-Mar-2026 12:00 PM,10-Feb-2026 10:00 AM,24-Mar-2026 05:00 PM,NA ,NA ,10-Feb-2026 10:00 AM,24-Mar-2026 05:00 PM,04-Apr-2026 05:00 PM,295.0,EXECUTIVE OFFICER,npp dataganj,Yes,EXECUTIVE OFFICER,NPP DATAGANJ,AOC,Finance,as per documet,Vikas Anand,08-Apr-2026 06:09 PM,finance_2064130.pdf,BOQ Comparative Chart,vikas anand,Internal,Three,Vikas Anand,04-Apr-2026 04:28 PM,04-Apr-2026 05:00 PM,techsummary_2064130.pdf (189.05 KB),Technical,as per document,Vikas Anand,04-Apr-2026 03:55 PM,technical_2064130.pdf,vikas anand,Internal,THREE,Vikas Anand,09-Apr-2026 04:24 PM,finsummary_2064130.pdf (189.05 KB),09-Apr-2026,"INR 215,302.08",90.0,Vikas Anand,10-Apr-2026 11:59 AM,W3903_2.pdf (560.00 KB),SHIV MANDIR PARA ME WATER QUIOSK AVAM VAINCH KA NIRMAN KARYE,1,5984853,BUDHPAL CONTRACTOR,18-Mar-2026 12:42 PM,Accepted-AOC,OK,10-Apr-2026 12:00 PM,1.0,5984853.0,BUDHPAL CONTRACTOR,INR,"215,302.08",Directorate of Local Bodies UP||Nagar Palika Parishad Dataganj Badaun,2026_DOLBU_1113903_2,351/nppdataganj/2025-26 date 09.02.2026,CIVIL_WORK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5984984,Maa shakti constructions,18-Mar-2026 01:13 PM,Rejected-Finance,ABOVE,09-Apr-2026 04:24 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5985196,MS KRISHNA DEVI THEKEDAR,18-Mar-2026 02:01 PM,Rejected-Finance,ABOVE,09-Apr-2026 04:24 PM,,,,,,,,,,AOC
