S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,5857677.0,M/S TANNA CONTRACTOR AND SUPPLIERS,INR,"1,181,090.64",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,2026_REDUP_1112790_1,31/EE/RED/2025-26,In Ward No 14 Indra Nagar of Orai Nagar 160 meter interlocking and drain construction work from Jhalkari Bai transformer towards drain near Kripal Singh,1,5857825,MAA PITAMBRA CONSTRUCTION COMPANY,10-Feb-2026 03:15 PM,Rejected-Finance,2ND,04-Apr-2026 03:25 PM,04-Apr-2026,"INR 1,181,090.64",90.0,Sheelendra Singh,04-Apr-2026 03:41 PM,YO.pdf (140.00 KB),UPLOD BOND PHOTO UPLODE 28.03.2026,sheelendra singh,Internal,SHARAD SRIVASTAVA ANUP KUMAR MISHRA,Sheelendra Singh,04-Apr-2026 03:25 PM,finsummary_2058690.pdf (509.72 KB),Technical,technical cover to be opened,Sheelendra Singh,24-Feb-2026 12:44 PM,technical_2058690.pdf,sheelendra singh,Internal,sharad srivastava anup kumar mishra,Sheelendra Singh,25-Feb-2026 01:42 AM,25-Feb-2026 10:00 AM,techsummary_2058690.pdf (1874.02 KB),Finance,financial cover to be opened,SHARAD SRIVASTAVA,12-Mar-2026 02:02 PM,finance_2058690.pdf,BOQ Comparative Chart,AOC,766.0,Nil,Nil,No,In Ward No 14 Indra Nagar of Orai Nagar 160 meter interlocking and drain construction work from Jhalkari Bai transformer towards drain near Kripal Singh,In Ward No 14 Indra Nagar of Orai Nagar 160 meter interlocking and drain construction work from Jhalkari Bai transformer towards drain near Kripal Singh,Please refer Tender documents. ,NA ,"11,82,000",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,ORAI,285001.0,NA ,NA ,NA ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,No ,No,"24,000",No,fixed,,Nil,Nil,05-Feb-2026 06:00 PM,13-Feb-2026 12:30 PM,05-Feb-2026 06:00 PM,12-Feb-2026 05:00 PM,NA ,NA ,05-Feb-2026 06:00 PM,12-Feb-2026 05:00 PM,25-Feb-2026 10:00 AM,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT JALAUN AT ORAI,1,Fee/PreQual/Technical,.pdf,A.D,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,31/EE/RED/2025-26,2026_REDUP_1112790_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5857677,M/S TANNA CONTRACTOR AND SUPPLIERS,10-Feb-2026 04:28 PM,Accepted-AOC,ACCEPTED,04-Apr-2026 03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
