Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,704.0,2026_DOLBU_1123329_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Offline,No,No,No,"6,00,000",No,fixed,,EO NPP Hata,Hata,1,SS - Small Savings Instrument,Nilami Suchana Taxi Stand,Nilami Suchana Taxi Stand 2026 27,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,90.0,90.0,NPP Hata,274203.0,NA ,NA ,NA ,EO NPP Hata,No ,No,"3,000",EO NPP Hata,Hata,No,11-Mar-2026 06:00 PM,19-Mar-2026 12:00 PM,12-Mar-2026 10:00 AM,18-Mar-2026 05:00 PM,NA ,NA ,12-Mar-2026 11:00 AM,18-Mar-2026 05:00 PM,20-Mar-2026 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,NIT,EO NPP Hata,EO NPP Hata,AOC,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Meenu Singh,20-Mar-2026 01:45 PM,finsummary_2092687.pdf (223.56 KB),Technical,Technical Bid opening summary,Meenu Singh,19-Mar-2026 04:43 PM,technical_2092687.pdf,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Meenu Singh,19-Mar-2026 04:45 PM,20-Mar-2026 11:00 AM,techsummary_2092687.pdf (119.37 KB),Finance,Financial Bid opening summary,Meenu Singh,20-Mar-2026 01:42 PM,finance_2092687.pdf,1,5985650,M/s ASHOK RAO AND ASSOCIATE,18-Mar-2026 04:10 PM,Accepted-AOC,Highest BID,02-Apr-2026 02:23 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,2026_DOLBU_1123329_1,704.0,Nilami Suchana Taxi Stand,1.0,5985650.0,M/s ASHOK RAO AND ASSOCIATE,INR,"6,030,000",01-Apr-2026,"INR 6,030,000",365.0,Meenu Singh,02-Apr-2026 02:23 PM,H1.pdf (216.00 KB),Crate Agreement On Stamp Paper,AOC
,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2,5985578,M/S GARG ASSOCIATES,18-Mar-2026 03:49 PM,Rejected-Finance,Lowest BID,20-Mar-2026 01:45 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3,5982795,M/S PANKJA CONSTRUCTION,17-Mar-2026 06:40 PM,Rejected-Finance,Lowest BID,20-Mar-2026 01:45 PM,,,,,,,,,,,,,,,,,AOC
