Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2026_REDUP_1123128_1,Notice No. 2527 date 16-02-2026,Construction of Inter locking road at Ward No 6 in Gram Bandwa Tahir Sri Ram Puram Inter Locking to Pankaj Dubey house,1.0,5961985.0,R P S Enterprises,INR,"1,102,906.86",1,5964855,MAHENDRA SINGH,12-Mar-2026 07:45 PM,Rejected-Finance,Higher,13-Apr-2026 02:13 PM,15-Apr-2026,"INR 1,102,906.86",90.0,Satyaprakash Mishra,15-Apr-2026 11:38 AM,90.pdf (664.00 KB),AWARD OF CONTRACT,Er SP Mishra,Internal,,Satyaprakash Mishra,18-Mar-2026 07:02 PM,20-Mar-2026 01:00 PM,techsummary_2092003.pdf (316.20 KB),Finance,d,Satyaprakash Mishra,13-Apr-2026 02:07 PM,,BOQ Comparative Chart,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,13-Apr-2026 02:13 PM,finsummary_2092003.pdf (630.21 KB),Technical,d,Satyaprakash Mishra,18-Mar-2026 02:01 PM,,AOC,1.0,SBI Bank,Construction of Inter locking road at Ward No 6 in Gram Bandwa Tahir Sri Ram Puram Inter Locking to Pankaj Dubey house,Construction of Inter locking road at Ward No 6 in Gram Bandwa Tahir Sri Ram Puram Inter Locking to Pankaj Dubey house,Please refer Tender documents. ,NA ,"11,08,000",Civil Works,NA ,Tender,90.0,90.0,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,eeredallahabad,eeredallahabad,09-Mar-2026 06:50 PM,17-Mar-2026 01:00 PM,09-Mar-2026 06:50 PM,16-Mar-2026 05:00 PM,NA ,NA ,09-Mar-2026 06:50 PM,16-Mar-2026 05:00 PM,20-Mar-2026 01:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 2527 date 16-02-2026,2026_REDUP_1123128_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,pdf,"2,500",Nil,Nil,No,"23,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5961985,R P S Enterprises,11-Mar-2026 04:32 PM,Accepted-AOC,accepted,15-Apr-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,xls,,,,,,,,,,,AOC
