Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
02-Apr-2026,"INR 3,511,518.97",90.0,naveen kumar,02-Apr-2026 02:45 PM,05L1.pdf (129.00 KB),1,6018171,MAA DURGA CONTRACTOR,29-Mar-2026 04:55 PM,Rejected-AOC,accepted,02-Apr-2026 02:45 PM,Directorate of Local Bodies UP||Nagar Panchayat Gabhana Aligarh,2026_DOLBU_1123225_5,1894/NPG/2025-26/9/3/2026,Const. of C.C. Road and RCC Wall in Nagar Panchayat Gabhana ward no.11 Banti Daroga house to Ghura Lal Sharma House.,1.0,6016826.0,M/S SHRI BALAJI ENTERPRISES,INR,"3,511,518.97",Finance,FinanceBid Admitted,naveen kumar,02-Apr-2026 01:12 PM,finance_2092505.pdf,BOQ Comparative Chart,eo,Internal,"JE,LIPIK",naveen kumar,31-Mar-2026 02:54 PM,01-Apr-2026 09:00 AM,techsummary_2092505.pdf (345.22 KB),Technical,Technical Bid Admitted,naveen kumar,31-Mar-2026 12:51 PM,technical_2092505.pdf,EO,Internal,"JE, LIPIK",naveen kumar,02-Apr-2026 01:53 PM,finsummary_2092505.pdf (345.22 KB),AOC,1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,NIT,Const. of C.C. Road and RCC Wall in Nagar Panchayat Gabhana ward no.11 Banti Daroga house to Ghura Lal Sharma House.,Const. of C.C. Road and RCC Wall in Nagar Panchayat Gabhana ward no.11 Banti Daroga house to Ghura Lal Sharma House.,Please refer Tender documents. ,NA ,"35,15,034",Civil Works,NA ,Tender,30.0,30.0,Const. of C.C. Road and RCC Wall in Nagar Panchaya,202136.0,NA ,NA ,NA ,"N.P. Gabhana, Aligarh",No ,No,"4,148",NP,GABHANA,No,"3,51,503",No,fixed,,NP,GABHANA,Directorate of Local Bodies UP||Nagar Panchayat Gabhana Aligarh,1894/NPG/2025-26/9/3/2026,2026_DOLBU_1123225_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,10-Mar-2026 12:30 PM,30-Mar-2026 02:00 PM,10-Mar-2026 12:30 PM,30-Mar-2026 12:00 PM,NA ,NA ,10-Mar-2026 12:30 PM,30-Mar-2026 12:00 PM,01-Apr-2026 09:00 AM,"N.P. Gabhana, Aligarh","N.P. Gabhana, Aligarh",AOC
,,,,,,2,6016733,M/S PUSHPENDRA TIWARI,28-Mar-2026 08:17 PM,Rejected-AOC,accepted,02-Apr-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,6016826,M/S SHRI BALAJI ENTERPRISES,28-Mar-2026 05:26 PM,Accepted-AOC,accepted,02-Apr-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
