Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,1682_08/Mlay/KHERI/2025-26,2026_REDUP_1122734_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Date Extension,Date,,11-Mar-2026 12:00 PM,27-Mar-2026 12:30 PM,11-Mar-2026 12:00 PM,27-Mar-2026 12:00 PM,NA ,NA ,11-Mar-2026 12:00 PM,27-Mar-2026 12:00 PM,04-Apr-2026 12:00 PM,"21,000",No,fixed,,Nil,Nil,Interlocking construction work from house of Shyamu to house of Kamal Kishore in Majra Madaripurwa of Gram Panchayat Ramnagar Bagha. Block Ramiyabehar,Interlocking construction work from house of Shyamu to house of Kamal Kishore in Majra Madaripurwa of Gram Panchayat Ramnagar Bagha. Block Ramiyabehar,Please Refer Tender Document ,NA ,"10,03,100",Civil Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,856.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Technical PDF,AOC,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,08-Apr-2026 03:22 PM,finsummary_2091029.pdf (356.53 KB),Technical,Recommended for Technical Evaluation,Hemant Saxena,28-Mar-2026 03:43 PM,technical_2091029.pdf,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,30-Mar-2026 06:12 PM,04-Apr-2026 12:00 PM,techsummary_2091029.pdf (349.36 KB),Finance,Recommended for Financial Evaluation,Rajendra Nath Chaturvedi,06-Apr-2026 01:33 PM,finance_2091029.pdf,BOQ Comparative Chart,1,6007743,Jagat Construction,25-Mar-2026 05:38 PM,Rejected-Finance,2nd Lowest Bidder,08-Apr-2026 03:22 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2026_REDUP_1122734_1,1682_08/Mlay/KHERI/2025-26,Interlocking construction work from house of Shyamu to house of Kamal Kishore in Majra Madaripurwa of Gram Panchayat Ramnagar Bagha. Block Ramiyabehar,1.0,6007772.0,M/S NITYA CONSTRUCYTION,INR,"1,002,791",13-Apr-2026,"INR 1,002,791",60.0,Rajendra Nath Chaturvedi,30-Apr-2026 10:09 PM,AOC_1682_08.pdf (275.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill Of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6007772,M/S NITYA CONSTRUCYTION,25-Mar-2026 05:30 PM,Accepted-AOC,Accepted,30-Apr-2026 10:09 PM,,,,,,,,,,,,,,,,AOC
