S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,SBI Bank,"16,76,000",No,fixed,,Nil,Nil,"Superintending Engineer, Fourth Circle, Irrigation","Office of the Superintending Engineer, Fourth Circle,Irrigation Works, civil lines Jhansi",05-Mar-2026 10:00 AM,13-Mar-2026 03:30 PM,05-Mar-2026 10:00 AM,13-Mar-2026 03:00 PM,NA ,NA ,05-Mar-2026 10:00 AM,13-Mar-2026 03:00 PM,27-Mar-2026 11:30 AM,"7,000",Nil,Nil,No,1.0,Corrigendum,Other,,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi",06/SE-IV/2025-26,2026_UPIDC_1121042_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Flood protection and anti-erosion works for the cluster of villages including Gudha, Himmatpura and Shivganj, situated on the right bank of River Yamuna in District Jalaun.","Flood protection and anti-erosion works for the cluster of villages including Gudha, Himmatpura and Shivganj, situated on the right bank of River Yamuna in District Jalaun.",Please refer Tender documents. ,NA ,"8,38,00,000",Civil Works,NA ,Tender,90.0,240.0,Jalaun,285126.0,NA ,NA ,NA ,"Office of the Superintending Engineer, Fourth Circ",No ,No,AOC,Finance,All bids are admitted,Brijesh Kumar,27-Mar-2026 11:33 AM,,BOQ Comparative Chart,Brijesh Kumar,Internal,Brijesh Kumar,Brijesh Kumar,25-Mar-2026 12:29 PM,27-Mar-2026 11:30 AM,techsummary_2085706.pdf (376.55 KB),Technical,All bids are Admitted,Brijesh Kumar,14-Mar-2026 12:32 PM,,Brijesh Kumar,Internal,Jitendra Kanaujia,Brijesh Kumar,10-Apr-2026 01:36 PM,finsummary_2085706.pdf (775.27 KB),10-Apr-2026,"INR 68,755,995.54",240.0,Brijesh Kumar,10-Apr-2026 01:41 PM,AOC6_1.pdf (238.00 KB),AOC,1.0,5969164.0,R.B.S. CONSTRUCTION,INR,"68,755,995.54","U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi",2026_UPIDC_1121042_1,06/SE-IV/2025-26,"Flood protection and anti-erosion works for the cluster of villages including Gudha, Himmatpura and Shivganj, situated on the right bank of River Yamuna in District Jalaun.",1,5962329,GSB DEVELOPERS PRIVATE LIMITED,12-Mar-2026 07:29 PM,Rejected-AOC,L2,10-Apr-2026 01:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5969164,R.B.S. CONSTRUCTION,12-Mar-2026 11:34 PM,Accepted-AOC,L1,10-Apr-2026 01:41 PM,AOC
