Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Block parisar kasganj me Beej godam ke pass swargiya shri Mati Kamlesh Rajput smriti dwar nirman karya,Block parisar kasganj me Beej godam ke pass swargiya shri Mati Kamlesh Rajput smriti dwar nirman karya,Please refer Tender documents. ,NA ,"11,86,000",Civil Works,NA ,Tender,90.0,90.0,Kasganj,207123.0,Vikas /bhwan Room No-19 ,Office Of EE RED Kasganj ,19-Mar-2026 12:30 PM ,Vikas /bhwan Room No-19,No ,No,854.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Technical Bid,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE ALIGARH CIRCLE||EE KASGANJ,1063/RED/2025-26 Dt-28.02.2026,2026_REDUP_1125984_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Office Of EE RED Kasganj,16-Mar-2026 05:00 PM,23-Mar-2026 12:30 PM,16-Mar-2026 05:00 PM,23-Mar-2026 12:00 PM,NA ,NA ,16-Mar-2026 05:00 PM,23-Mar-2026 12:00 PM,27-Mar-2026 10:00 AM,"23,000",Yes,fixed,,Nil,Nil,AOC,Technical,Technical summary,Dinesh Singh,23-Mar-2026 04:43 PM,technical_2099550.pdf,Executive Engineer,Internal,"A E RED ,D A O RED Kasganj",Dinesh Singh,20-Apr-2026 01:40 PM,finsummary_2099550.pdf (163.41 KB),Finance,FINANCIAL SUMMARY,Dinesh Singh,30-Mar-2026 11:57 AM,,BOQ Comparative Chart,Executive Engineer,Internal,"A.E. RED ,D.A.O.RED Kasganj",Dinesh Singh,25-Mar-2026 11:26 AM,27-Mar-2026 10:00 AM,techsummary_2099550.pdf (142.64 KB),20-Apr-2026,"INR 1,398,849",90.0,Dinesh Singh,20-Apr-2026 02:25 PM,LOABLOCK.pdf (164.00 KB),With GST,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE ALIGARH CIRCLE||EE KASGANJ,2026_REDUP_1125984_4,1063/RED/2025-26 Dt-28.02.2026,Block parisar kasganj me Beej godam ke pass swargiya shri Mati Kamlesh Rajput smriti dwar nirman karya,1.0,5992977.0,SEEMA RAJPUT,INR,"1,398,849",1,5992935,M/s Maa Shanti Devi Construction,22-Mar-2026 05:19 PM,Rejected-Finance,L-2,20-Apr-2026 01:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5992977,SEEMA RAJPUT,22-Mar-2026 10:02 PM,Accepted-AOC,L-1,20-Apr-2026 02:25 PM,AOC
