Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Contruction of VRB at Baroda Dy I km. 16.000,Contruction of VRB at Baroda Dy I km. 16.000,Please refer Tender documents. ,NA ,"13,00,000",Civil Works,NA ,Tender,90.0,60.0,U.M.B.D.G.C. Khurja,203131.0,NA ,NA ,NA ,U.M.B.D.G.C. Khurja,No ,No,11-Feb-2026 09:00 AM,18-Feb-2026 03:00 PM,11-Feb-2026 09:00 AM,18-Feb-2026 12:00 PM,NA ,NA ,11-Feb-2026 09:00 AM,18-Feb-2026 12:00 PM,21-Feb-2026 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||UMBGC, khurja",14/EE/2025-26,2026_UPIDC_1114437_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,U.M.B.D.G.C. Khurja,1.0,SBI Bank,766.0,Nil,Nil,No,"26,000",No,fixed,,Nil,Nil,AOC,NEERAJKUMARTYAGI,Internal,NEERAJKUMARTYAGI CHANDRAMAULI DWIVEDI,NEERAJ TYAGI,23-Feb-2026 01:24 PM,finsummary_2066602.pdf (197.16 KB),Technical,TECHNICAL REPORT,NEERAJ TYAGI,20-Feb-2026 04:25 PM,technical_2066602.pdf,NEERAJ KUMAR TYAGI,Internal,NEERAJ KUMAR TYAGI UMESH KUMAR,NEERAJ TYAGI,20-Feb-2026 04:37 PM,21-Feb-2026 12:00 PM,techsummary_2066602.pdf (507.43 KB),Finance,Financial Report,NEERAJ TYAGI,23-Feb-2026 01:11 PM,finance_2066602.pdf,BOQ Comparative Chart,1,5885984,ARTIST BRO,17-Feb-2026 01:04 PM,Rejected-Finance,3,23-Feb-2026 01:24 PM,1.0,5890942.0,Phoughat Construction,INR,"830,535","U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||UMBGC, khurja",2026_UPIDC_1114437_1,14/EE/2025-26,Contruction of VRB at Baroda Dy I km. 16.000,20-Mar-2026,"INR 830,535",60.0,NEERAJ TYAGI,21-Apr-2026 01:53 PM,118.pdf (758.00 KB),date of start 20.03.2026,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5887704,M/S FAIR CONSTRUCTION,18-Feb-2026 11:02 AM,Rejected-Finance,2,23-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5889175,M/s Prince Construction,17-Feb-2026 09:59 PM,Rejected-Finance,9,23-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5871247,M/S RINKU CONTRACTOR,15-Feb-2026 09:16 AM,Rejected-Finance,6,23-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5891344,M/S SANJEEV KUMAR CONTRACTOR,18-Feb-2026 11:44 AM,Rejected-Finance,4,23-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,5886959,M/s Virendra Singh Contractor,18-Feb-2026 10:08 AM,Rejected-Finance,8,23-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,5890942,Phoughat Construction,18-Feb-2026 10:57 AM,Accepted-AOC,Accept,21-Apr-2026 01:53 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,5867551,PRAGYA CONSTRUCTION,17-Feb-2026 04:49 PM,Rejected-Finance,5,23-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,5891566,SANJAY KUMAR,18-Feb-2026 11:49 AM,Rejected-Finance,10,23-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,5886232,SHIV GANGA INFRATECH,18-Feb-2026 09:58 AM,Rejected-Finance,7,23-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,AOC
