Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
04-Apr-2026,"INR 1,165,071.61",180.0,Sujit Kumar Sinha,13-Apr-2026 05:53 PM,Document2.pdf (26.00 KB),1.0,5967276.0,MAHADEV TRADERS,INR,"1,165,071.61",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1123811_3,"1233/RED/Etender(34)/2025-26, Dt. 28.02.2026",G.P. Raigarh Behra ke majra Raigarh me pakki road se Mandir hote huye Dharmraj Murya ke ghar ke paas tak inerlocking nirman karya-Huzoorpur_03,1,5967276,MAHADEV TRADERS,15-Mar-2026 03:59 PM,Accepted-AOC,AOC,13-Apr-2026 05:53 PM,Finance,Financial bid open,Sujit Kumar Sinha,23-Mar-2026 02:38 PM,finance_2093977.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,19-Mar-2026 05:23 PM,20-Mar-2026 12:00 PM,techsummary_2093977.pdf (55.38 KB),Technical,Technical bid open,Sujit Kumar Sinha,17-Mar-2026 02:04 PM,technical_2093977.pdf,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,23-Mar-2026 02:47 PM,finsummary_2093977.pdf (44.42 KB),AOC,11-Mar-2026 03:30 PM,16-Mar-2026 04:30 PM,11-Mar-2026 03:30 PM,16-Mar-2026 04:00 PM,NA ,NA ,11-Mar-2026 03:30 PM,16-Mar-2026 04:00 PM,20-Mar-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,Technical bid document,"19,800",No,fixed,,Nil,Nil,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",G.P. Raigarh Behra ke majra Raigarh me pakki road se Mandir hote huye Dharmraj Murya ke ghar ke paas tak inerlocking nirman karya-Huzoorpur_03,G.P. Raigarh Behra ke majra Raigarh me pakki road se Mandir hote huye Dharmraj Murya ke ghar ke paas tak inerlocking nirman karya-Huzoorpur_03,Please refer Tender documents. ,NA ,"9,88,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,788.0,Nil,Nil,No,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1233/RED/Etender(34)/2025-26, Dt. 28.02.2026",2026_REDUP_1123811_3,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,5967201,M/s Vaishnavi Construction,15-Mar-2026 03:43 PM,Rejected-Finance,High,23-Mar-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
