Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Tender Open,RAJESH KUMAR,24-Jan-2026 05:48 PM,finance_2034680.pdf,BOQ Comparative Chart,09-Apr-2026,"INR 2,549,627",60.0,RAJESH KUMAR,09-Apr-2026 02:35 PM,265.pdf (487.00 KB),Work order,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1103320_1,265/A.A.3/25-26,Imp. Of Interlocking tiles from Juhi lal colony in Block No 233 to Block no 236 in Ward 84 Zone 03,1.0,5794834.0,M/s HB Contractor,INR,"2,549,627",1,5795042,ALKA RANI CHAUBEY,08-Jan-2026 01:50 PM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",24-Jan-2026 05:57 PM,C.E.,Internal,,RAJESH KUMAR,24-Jan-2026 05:52 PM,techsummary_2034680.pdf (739.48 KB),C.E.,Internal,,RAJESH KUMAR,24-Jan-2026 05:57 PM,finsummary_2034680.pdf (739.48 KB),AOC,Imp. Of Interlocking tiles from Juhi lal colony in Block No 233 to Block no 236 in Ward 84 Zone 03,Imp. Of Interlocking tiles from Juhi lal colony in Block No 233 to Block no 236 in Ward 84 Zone 03,Please refer Tender documents. ,NA ,"29,99,561",Civil Works,NA ,Tender,60.0,NA ,Imp. Of Interlocking tiles from Juhi lal colony i,208040.0,NA ,NA ,NA ,C.E.3,No ,No,01-Jan-2026 06:00 PM,08-Jan-2026 04:00 PM,01-Jan-2026 06:00 PM,08-Jan-2026 03:00 PM,NA ,NA ,01-Jan-2026 06:00 PM,08-Jan-2026 03:00 PM,"1,770",Nil,Nil,No,1.0,SBI Bank,"Kanpur Municipal Corporation, Kanpur, UP",265/A.A.3/25-26,2026_NNKAN_1103320_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,C.E.3,Zone 3,"2,99,956",No,percentage,10.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,2,5794751,Dilip Kumar Bajpai,08-Jan-2026 12:35 PM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",24-Jan-2026 05:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,xls,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,5792913,HARI OM BAJRANGI,08-Jan-2026 08:11 AM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",24-Jan-2026 05:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,5790719,Maa Kushmanda Construction,07-Jan-2026 01:39 PM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",24-Jan-2026 05:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,5791590,M/S ANOOP TRADERS,07-Jan-2026 11:04 AM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",24-Jan-2026 05:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,5793626,M/s baba Gokaran nath builders,08-Jan-2026 12:13 PM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",24-Jan-2026 05:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,5794834,M/s HB Contractor,08-Jan-2026 12:24 PM,Accepted-AOC,L1,09-Apr-2026 02:35 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,5792565,M/s Krishna Builder,06-Jan-2026 11:24 PM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",24-Jan-2026 05:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,5792697,M/s Krishna construction company,07-Jan-2026 04:32 PM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",24-Jan-2026 05:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,5794039,M/S NATIONAL CONSTRUCTION,07-Jan-2026 09:51 PM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",24-Jan-2026 05:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
