Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
07-Apr-2026,"INR 63,278",15.0,Dinesh Mohan,07-Apr-2026 05:13 PM,17.pdf (170.00 KB),AOC,Technical,AS PER UPLOAD,Dinesh Mohan,20-Feb-2026 08:52 PM,,Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,21-Feb-2026 11:21 AM,23-Feb-2026 05:00 PM,techsummary_2054854.pdf (44.17 KB),1.0,5850493.0,M/S UMA SHANKAR YADAV,INR,"63,278",Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,25-Feb-2026 08:06 PM,finsummary_2054854.pdf (38.59 KB),Finance,AS PER UPLOAD,Dinesh Mohan,25-Feb-2026 11:02 AM,,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",2026_UPIDC_1111706_17,06/EE/2025-26,Clearance of Haluwapaar Drian from KM 0.000 to KM 1.800 in District Basti,1,5850902,AKANKSHA ASSOCIATES,08-Feb-2026 09:35 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 08:06 PM,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",06/EE/2025-26,2026_UPIDC_1111706_17,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Clearance of Haluwapaar Drian from KM 0.000 to KM 1.800 in District Basti,Clearance of Haluwapaar Drian from KM 0.000 to KM 1.800 in District Basti,Please refer Tender documents. ,NA ,"1,44,000",Civil Works,NA ,Rate Contract,90.0,15.0,BASTI,272001.0,NA ,NA ,NA ,"Executive Engineer Saryu Nahar Khand-4,Basti (U.",No ,No,"Executive Engineer Saryu Nahar Khand-4,Basti (U.","Executive Engineer Saryu Nahar Khand-4,Basti (U.",03-Feb-2026 10:00 AM,09-Feb-2026 12:30 PM,03-Feb-2026 10:00 AM,26-May-2026 05:10 PM,NA ,NA ,03-Feb-2026 10:00 AM,09-Feb-2026 12:00 PM,26-May-2026 05:10 PM,"3,000",Yes,fixed,,Nil,Nil,795.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,AS PER UPLOAD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5853389,DIVYADHARA CONSTRUCTION,08-Feb-2026 06:53 PM,Rejected-Technical,AS PER UPLOAD,21-Feb-2026 11:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,AS PER UPLOAD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5851881,JAI SHREE BALA JI TRADERS,08-Feb-2026 11:59 AM,Rejected-Technical,AS PER UPLOAD,21-Feb-2026 11:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5853835,KALAYANI CONSTRUTION,09-Feb-2026 09:00 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 08:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5849634,MANWAR CONSTRUCTIONS,07-Feb-2026 06:43 PM,Rejected-Technical,AS PER UPLOAD,21-Feb-2026 11:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5853630,M/S ABHISHEK CONSTRUCTION,09-Feb-2026 09:03 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 08:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5852032,M/S AMIT KUMAR SINGH,08-Feb-2026 09:06 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 08:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5847406,M/S ANSHUMAN SINGH YADAV CONSTRUCTION,08-Feb-2026 08:08 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 08:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5853821,M/S HARIPAL SINGH,09-Feb-2026 12:24 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 08:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5851060,M/S SAHANI TRADERS,07-Feb-2026 10:38 PM,Rejected-Technical,AS PER UPLOAD,21-Feb-2026 11:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
