Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
06-Apr-2026,"INR 5,038,311.4",90.0,NEELESH KUMAR JAIN,18-Apr-2026 11:58 AM,AOCdoc10.pdf (230.00 KB),Technical,05 technical bid found in 04 admitted and 01 not admitted,NEELESH KUMAR JAIN,19-Mar-2026 01:55 PM,technical_2090376.pdf,S E NEELESH KUMAR JAIN,Internal,S E TRAYAMBAK TRIPATHI,NEELESH KUMAR JAIN,19-Mar-2026 02:05 PM,23-Mar-2026 10:00 AM,techsummary_2090376.pdf (444.16 KB),Finance,04 financial bid found in all 04 admitted,NEELESH KUMAR JAIN,04-Apr-2026 03:02 PM,finance_2090376.pdf,BOQ Comparative Chart,S E NEELESH KUMAR JAIN,Internal,S E TRAYAMBAK TRIPATHI,NEELESH KUMAR JAIN,06-Apr-2026 04:45 PM,finsummary_2090376.pdf (500.84 KB),1.0,5976937.0,M/S SHRI RAM SINGH,INR,"5,038,311.4",1,5970599,GAURI KRUPA ASSOCIATES,13-Mar-2026 05:28 PM,Rejected-Finance,BID REJECTED DUE TO HEIGHER RATE,06-Apr-2026 04:45 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur",2026_UPIDC_1122433_10,03/SE/2025-26,Anti-erosion work for flood protection of village Raghunathpur situated on the left bank of Bahgul river under Shahjahanpur district (Lot No.-10),AOC,1.0,SBI Bank,Superintending Engineer,Irrigation Works Circle Sitapur,1.0,Fee/PreQual/Technical,.pdf,technical document,"1,55,000",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur",03/SE/2025-26,2026_UPIDC_1122433_10,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,Anti-erosion work for flood protection of village Raghunathpur situated on the left bank of Bahgul river under Shahjahanpur district (Lot No.-10),Anti-erosion work for flood protection of village Raghunathpur situated on the left bank of Bahgul river under Shahjahanpur district (Lot No.-10),Please refer Tender documents. ,NA ,"77,51,000",Civil Works,NA ,Tender,90.0,90.0,Shahjahanpur,242001.0,Sitapur ,Irrigation Works Circle Sitapur ,09-Mar-2026 12:00 PM ,Sitapur,No ,No,"2,715",Nil,Nil,No,09-Mar-2026 12:00 PM,16-Mar-2026 03:00 PM,09-Mar-2026 12:00 PM,16-Mar-2026 02:00 PM,NA ,NA ,09-Mar-2026 12:00 PM,16-Mar-2026 02:00 PM,23-Mar-2026 10:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5976311,M/S ANUBHAV CONSTRUCTIONS,16-Mar-2026 01:29 AM,Rejected-Finance,BID REJECTED DUE TO HEIGHER RATE,06-Apr-2026 04:45 PM,,,,,AOC,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5977800,M/S K.G.N. TRADERS,16-Mar-2026 12:50 PM,Rejected-Finance,BID REJECTED DUE TO HEIGHER RATE,06-Apr-2026 04:45 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5976937,M/S SHRI RAM SINGH,16-Mar-2026 11:47 AM,Accepted-AOC,DUE TO LOWEST RATE,18-Apr-2026 11:58 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5974773,M/S TARAI CONSTRUCTION,16-Mar-2026 01:44 PM,Not Admitted-Fee/PreQual/Technical,Others-As per point no. 19 of e-tender notice no. 03/SE/2025-26 and clause 8.02 (a) of the bid document,19-Mar-2026 01:55 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
