Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Executive Engineer,Office of the E.E. R.E.D. Bahraich,Vikas Khan Mihipurwa Gram Sabha Pakadiya me Piarua Nala Puliya se hote huye Ramayan Mulla ki abadi se main road tak C.C. road nirman karya_23,Vikas Khan Mihipurwa Gram Sabha Pakadiya me Piarua Nala Puliya se hote huye Ramayan Mulla ki abadi se main road tak C.C. road nirman karya_23,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,Office of the E.E. R.E.D. Bahraich,No ,No,"45,200",No,fixed,,Nil,Nil,1.0,Dage Corrigendum,Date,,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical bid document,"2,384",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1138/RED/E-Tender(31)/2025-26, Dt. 31.01.2026",2026_REDUP_1119239_23,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,24-Feb-2026 12:00 PM,11-Mar-2026 02:30 PM,24-Feb-2026 12:00 PM,11-Mar-2026 02:00 PM,NA ,NA ,24-Feb-2026 12:00 PM,11-Mar-2026 02:00 PM,17-Mar-2026 12:00 PM,AOC,1,5956925,MAHADEV TRADERS,10-Mar-2026 12:08 PM,Rejected-Finance,High,18-Mar-2026 02:07 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1119239_23,"1138/RED/E-Tender(31)/2025-26, Dt. 31.01.2026",Vikas Khan Mihipurwa Gram Sabha Pakadiya me Piarua Nala Puliya se hote huye Ramayan Mulla ki abadi se main road tak C.C. road nirman karya_23,Finance,Financial bid open,Sujit Kumar Sinha,17-Mar-2026 02:56 PM,finance_2081045.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,18-Mar-2026 02:07 PM,finsummary_2081045.pdf (43.16 KB),1.0,5961048.0,PUSHPA ENTERPRISES,INR,"1,048,936.74",Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,16-Mar-2026 03:38 PM,17-Mar-2026 12:00 PM,techsummary_2081045.pdf (424.52 KB),Technical,Technical bid open,Sujit Kumar Sinha,11-Mar-2026 03:21 PM,technical_2081045.pdf,23-Mar-2026,"INR 1,048,936.74",180.0,Sujit Kumar Sinha,08-Apr-2026 12:26 PM,Document2.pdf (26.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5961048,PUSHPA ENTERPRISES,11-Mar-2026 11:43 AM,Accepted-AOC,AOC,08-Apr-2026 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
