Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Bisandabujurg Banda,359/Nirman/NPBisanda/2025-26 Date 13-02-2026,2026_DOLBU_1116068_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,REPAIRING OF TOILET IN TAKIYA PURWA IN WARD NO. 01 BISANDA,REPAIRING OF TOILET IN TAKIYA PURWA IN WARD NO. 01 BISANDA,Please Refer Tender Dacument  ,NA ,"4,23,568",Civil Works,NA ,Tender,30.0,NA ,NP Bisandabujurg,210203.0,NA ,NA ,NA ,Bisandabujurg,No ,No,1,DD - Demand Draft,17-Mar-2026 01:00 PM,26-Mar-2026 11:00 AM,17-Mar-2026 02:00 PM,25-Mar-2026 05:00 PM,NA ,NA ,17-Mar-2026 02:00 PM,25-Mar-2026 05:00 PM,28-Mar-2026 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Technical,500.0,Executive Officer,NP Bisandabujurg,No,Executive Officer,NP Bisandabujurg,"8,471",No,fixed,,Executive Officer,NP Bisandabujurg,AOC,EO,Internal,CLERK JE AND EO,Nirdosh Kumar,28-Mar-2026 02:45 PM,28-Mar-2026 03:00 PM,techsummary_2100243.pdf (880.68 KB),Finance,All bid is correct so admitted,Nirdosh Kumar,28-Mar-2026 04:45 PM,finance_2100243.pdf,BOQ Comparative Chart,EO,Internal,CLERK JE AND EO,Nirdosh Kumar,28-Mar-2026 05:17 PM,finsummary_2100243.pdf (360.86 KB),Technical,All Dacument is correct so admitted,Nirdosh Kumar,27-Mar-2026 01:22 PM,technical_2100243.pdf,1,6007628,ANIL KUMAR GUPTA CONTRACTOR,25-Mar-2026 04:30 PM,Rejected-AOC,L3 Lowest,09-Apr-2026 10:31 PM,1.0,6007579.0,Leena Gupta,INR,"422,932.35",Directorate of Local Bodies UP||Nagar Panchayat Bisandabujurg Banda,2026_DOLBU_1116068_2,359/Nirman/NPBisanda/2025-26 Date 13-02-2026,REPAIRING OF TOILET IN TAKIYA PURWA IN WARD NO. 01 BISANDA,04-Apr-2026,"INR 422,932.35",30.0,Nirdosh Kumar,09-Apr-2026 10:30 PM,tikiyapurva.pdf (971.00 KB),L1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6007579,Leena Gupta,25-Mar-2026 04:13 PM,Accepted-AOC,L1 lowest,09-Apr-2026 10:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6007685,SK CONSTRUCTIONS,25-Mar-2026 04:51 PM,Rejected-AOC,L2 Lowest,09-Apr-2026 10:31 PM,,,,,,,,,,,,,,,,,AOC
