Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1,Fee/PreQual/Technical,.pdf,SBD,EE RED Jhansi,EE RED Jhansi,12-Mar-2026 01:00 PM,25-Mar-2026 03:30 PM,12-Mar-2026 01:00 PM,25-Mar-2026 12:00 PM,NA ,NA ,12-Mar-2026 01:00 PM,25-Mar-2026 12:00 PM,17-Apr-2026 12:30 PM,"1,02,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,Ward no 50 Badagaon gate Bajhar Mahakaleswar Raja baba mandir ke pass Dhyan Yog Kendra ka Nirman Karya,Ward no 50 Badagaon gate Bajhar Mahakaleswar Raja baba mandir ke pass Dhyan Yog Kendra ka Nirman Karya,Please refer Tender documents. ,NA ,"20,34,000",Civil Works,NA ,Tender,90.0,90.0,Ward no 50 Badagaon gate Bajhar Mahakaleswar Raja,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,3430/RED/Tender/2025-26 Dt. 03.02.2026,2026_REDUP_1123778_19,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,AOC,1.0,5971055.0,SANJAY AGARWAL,INR,"2,023,071",Finance,FINAL,Chaman Srivastava,29-Apr-2026 06:16 PM,finance_2094995.pdf,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,Chaman Srivastava,29-Apr-2026 06:18 PM,finsummary_2094995.pdf (557.58 KB),1,5971093,LUCKY ENTERPRISES,17-Mar-2026 08:30 AM,Rejected-Finance,N,29-Apr-2026 06:18 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1123778_19,3430/RED/Tender/2025-26 Dt. 03.02.2026,Ward no 50 Badagaon gate Bajhar Mahakaleswar Raja baba mandir ke pass Dhyan Yog Kendra ka Nirman Karya,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,10-Apr-2026 02:45 PM,17-Apr-2026 12:30 PM,techsummary_2094995.pdf (725.35 KB),29-Apr-2026,"INR 2,023,071",90.0,Chaman Srivastava,29-Apr-2026 06:20 PM,50mahakaleshwar.pdf (558.00 KB),FINAL,Technical,final,RAJNEESH KUMAR,10-Apr-2026 02:42 PM,technical_2094995.pdf,AOC
2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5971055,SANJAY AGARWAL,17-Mar-2026 09:44 AM,Accepted-AOC,Y,29-Apr-2026 06:20 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
