Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Er. Surya Prakash,Internal,Er. Abhishek Kumar Shahi AE and Shri Kanhaiya Lal DAO,Surya Prakash,19-Feb-2026 12:51 PM,19-Feb-2026 02:00 PM,techsummary_2059394.pdf (2201.99 KB),Technical,Technical Bid Open,Surya Prakash,17-Feb-2026 06:02 PM,,16-Apr-2026,"INR 990,458.25",120.0,Surya Prakash,16-Apr-2026 04:00 PM,279.pdf (1468.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,2026_REDUP_1112892_18,1692/RED DEORIA/E-TENDER/2025-26. DATED 07.01.2026,VIKAS KHAND BHAGALPUR KE GRAM KATIYARI ME PITCH SADAK SE PRATHAMIK VIDYALAY HOTE HUE VIKAS TIWARI KE GHAR TAK CC ROAD KA NIRMAN KARYA,1,5857655,M/s Ambika Trading Company,13-Feb-2026 02:23 AM,Rejected-Finance,Highest Rate,16-Apr-2026 03:58 PM,Er. Surya Prakash,Internal,,Surya Prakash,16-Apr-2026 03:58 PM,finsummary_2059394.pdf (1467.81 KB),Finance,FINANCIAL BID OPEN,Surya Prakash,19-Feb-2026 04:57 PM,,BOQ Comparative Chart,1.0,5857636.0,VINDHYAVASHINI ENTERPRISES,INR,"990,458.25",AOC,"23,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,07-Feb-2026 10:00 AM,16-Feb-2026 02:30 PM,07-Feb-2026 10:00 AM,13-Feb-2026 12:00 PM,NA ,NA ,07-Feb-2026 10:00 AM,13-Feb-2026 12:00 PM,19-Feb-2026 02:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,1692/RED DEORIA/E-TENDER/2025-26. DATED 07.01.2026,2026_REDUP_1112892_18,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,"OFFICE OF THE EXECUTIVE ENGINEER, RURAL ENGINEERING DEPARTMENT, DIVISION DEORIA",766.0,Nil,Nil,No,VIKAS KHAND BHAGALPUR KE GRAM KATIYARI ME PITCH SADAK SE PRATHAMIK VIDYALAY HOTE HUE VIKAS TIWARI KE GHAR TAK CC ROAD KA NIRMAN KARYA,VIKAS KHAND BHAGALPUR KE GRAM KATIYARI ME PITCH SADAK SE PRATHAMIK VIDYALAY HOTE HUE VIKAS TIWARI KE GHAR TAK CC ROAD KA NIRMAN KARYA,Please Refer Tender Document ,NA ,"11,70,000",Civil Works,NA ,Tender,120.0,120.0,DEORIA,274001.0,NA ,NA ,NA ,DEORIA,No ,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,2,5857636,VINDHYAVASHINI ENTERPRISES,13-Feb-2026 02:02 AM,Accepted-AOC,Lowest Rate,16-Apr-2026 04:00 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
