Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,1259/SE RED Gorakhpur/Gorakhpur/25-26 Dt 16/12/2025,2026_REDUP_1108968_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur","1,92,000",No,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,FEES AND TECHNICAL DOCUMENTS,24-Jan-2026 10:00 AM,29-Jan-2026 12:30 PM,24-Jan-2026 10:00 AM,29-Jan-2026 12:00 PM,NA ,NA ,24-Jan-2026 11:00 AM,29-Jan-2026 12:00 PM,11-Feb-2026 12:00 PM,"Under District Gorakhpur, Construction of Interlocking Road on CC Road and RCC drain and side track in various lanes of Mohalla Om Shantinagar of Ward No. 14 Dr. Rajendra Prasad Nagar, Lot No 1","Under District Gorakhpur, Construction of Interlocking Road on CC Road and RCC drain and side track in various lanes of Mohalla Om Shantinagar of Ward No. 14 Dr. Rajendra Prasad Nagar, Lot No 1",Please refer Tender documents. ,NA ,"95,82,000",Civil Works,NA ,Tender,90.0,180.0,Gorakhpur,273001.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur ",27-Jan-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,"2,714",Nil,Nil,No,AOC,Technical,Gorakhpur,Dileep Shukla,29-Jan-2026 12:40 PM,,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,Er D K Shukla SE RED GORAKHPUR CIRCLE,Dileep Shukla,02-Apr-2026 10:16 AM,finsummary_2047676.pdf (8031.56 KB),Finance,Summary,Dileep Shukla,11-Feb-2026 12:26 PM,,BOQ Comparative Chart,Er Isham Singh CE RED East,Internal,"Er Isham Singh CE RED East, Er D K Shukla SE RED Gorakhpur Circle, Er Vivek Priya EE RED Gorakhpur, Er P K Bharti EE RED Maharajganj, Mr Katayani Prasad DAO RED Gorakhpur",Dileep Shukla,06-Feb-2026 11:40 AM,11-Feb-2026 12:00 PM,techsummary_2047676.pdf (237.47 KB),02-Apr-2026,"INR 10,951,360",180.0,Dileep Shukla,02-Apr-2026 10:38 AM,1259_1.pdf (8032.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1108968_1,1259/SE RED Gorakhpur/Gorakhpur/25-26 Dt 16/12/2025,"Under District Gorakhpur, Construction of Interlocking Road on CC Road and RCC drain and side track in various lanes of Mohalla Om Shantinagar of Ward No. 14 Dr. Rajendra Prasad Nagar, Lot No 1",1.0,5829642.0,AMBEY ENETRPRISES,INR,"10,951,360",1,5829642,AMBEY ENETRPRISES,29-Jan-2026 10:18 AM,Accepted-AOC,AOC,02-Apr-2026 10:39 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL DOCUMENTS(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5829831,M/S DIVYA CONSTRUCTION,28-Jan-2026 06:49 PM,Rejected-Finance,Rejected,02-Apr-2026 10:16 AM,AOC
