S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5969803.0,M/s Singh Traders,INR,"24,582,926.35","U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-2, Gorakhpur",2026_UPIDC_1122376_8,05/SE/2025-26,"Anti Erosion Work For Protection Of Group Of Villages Ramamau, Bevari and Turkwaliya At The Left Bank Of Saryu River In District Gorakhpur.",1,5969548,Devendra Nath Mishra,13-Mar-2026 08:39 AM,Rejected-AOC,AS UPLOADED,09-Apr-2026 05:48 PM,08-Apr-2026,"INR 24,582,926.35",90.0,Jaya Prakash Singh,09-Apr-2026 05:48 PM,12.pdf (609.00 KB),J.P. Singh,Internal,Alok Kumar,Jaya Prakash Singh,23-Mar-2026 11:13 AM,25-Mar-2026 11:30 AM,techsummary_2089934.pdf (2379.60 KB),Finance,AS UPLOADED,Jaya Prakash Singh,25-Mar-2026 02:03 PM,,BOQ Comparative Chart,J.P. Singh,Internal,Alok Kumar,Jaya Prakash Singh,25-Mar-2026 06:51 PM,finsummary_2089934.pdf (297.46 KB),Technical,AS UPLOADED,Jaya Prakash Singh,22-Mar-2026 09:28 PM,,AOC,"6,00,000",No,fixed,,Nil,Nil,SUPERINTENDING ENGINEER,"GANDAK IRRIGATION WORKS CIRCLE-2, GORAKHPUR(U.P)","U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-2, Gorakhpur",05/SE/2025-26,2026_UPIDC_1122376_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technica,"4,316",Nil,Nil,No,07-Mar-2026 09:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,25-Mar-2026 11:30 AM,"Anti Erosion Work For Protection Of Group Of Villages Ramamau, Bevari and Turkwaliya At The Left Bank Of Saryu River In District Gorakhpur.","Anti Erosion Work For Protection Of Group Of Villages Ramamau, Bevari and Turkwaliya At The Left Bank Of Saryu River In District Gorakhpur.",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,GORAKHPUR,273001.0,GORAKHPUR ,"OFFICE OF SUPERINTENDING ENGINEER, GANDAK IRRIGATION WORKS CIRCLE-2, GORAKHPUR(U.P) ",07-Mar-2026 11:00 AM ,GORAKHPUR,No ,No,AOC
,,,,,,,,,2,5965680,M/S ASHTBHUJA,13-Mar-2026 12:42 AM,Rejected-AOC,AS UPLOADED,09-Apr-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5969161,M/S BHAGWATI TRADERS,13-Mar-2026 10:09 AM,Rejected-AOC,AS UPLOADED,09-Apr-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5969491,M/S CHANDRA MAULI MISHRA CONTRECTOR,13-Mar-2026 01:48 PM,Rejected-AOC,AS UPLOADED,09-Apr-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5968331,M/S MALL CONSTRUCTIONS AND SUPLAYERS,13-Mar-2026 11:31 AM,Rejected-Technical,AS UPLOADED,23-Mar-2026 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5969962,M/S SHIV CONSTRUCTION,13-Mar-2026 11:31 AM,Rejected-AOC,AS UPLOADED,09-Apr-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5969803,M/s Singh Traders,13-Mar-2026 12:23 PM,Accepted-AOC,AS UPLOADED,09-Apr-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5967675,M/s Sri Prakash Singh,13-Mar-2026 11:09 AM,Rejected-Technical,AS UPLOADED,23-Mar-2026 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5968897,M/S V.K. CONSTRUCTION,12-Mar-2026 09:18 PM,Rejected-AOC,AS UPLOADED,09-Apr-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5969459,VIRAT CONSTRUCTION,13-Mar-2026 01:27 PM,Rejected-AOC,AS UPLOADED,09-Apr-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
