Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,1645_01/MPY/KHERI/2025-26,2026_REDUP_1122736_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical PDF,Installation work of 6way semi-high mast lights at 25 locations in Assembly Constituency 142-Lakhimpur. Block Behjam,Installation work of 6way semi-high mast lights at 25 locations in Assembly Constituency 142-Lakhimpur. Block Behjam,Please Refer Tender Document ,NA ,"39,44,700",Civil Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,11-Mar-2026 12:00 PM,17-Mar-2026 12:30 PM,11-Mar-2026 12:00 PM,17-Mar-2026 12:00 PM,NA ,NA ,11-Mar-2026 12:00 PM,17-Mar-2026 12:00 PM,23-Mar-2026 12:00 PM,Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur,1.0,SBI Bank,"79,000",No,fixed,,Nil,Nil,944.0,Nil,Nil,No,AOC,Technical,Recommended for Technical Evaluation,Hemant Saxena,17-Mar-2026 03:54 PM,technical_2091033.pdf,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,25-Mar-2026 05:25 PM,finsummary_2091033.pdf (1078.18 KB),Finance,Recommended for Financial Evaluation,Hemant Saxena,25-Mar-2026 04:44 PM,finance_2091033.pdf,BOQ Comparative Chart,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,18-Mar-2026 04:20 PM,23-Mar-2026 12:00 PM,techsummary_2091033.pdf (662.55 KB),31-Mar-2026,"INR 3,924,764",60.0,Rajendra Nath Chaturvedi,08-Apr-2026 12:17 PM,AOC_1645_01.pdf (351.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2026_REDUP_1122736_1,1645_01/MPY/KHERI/2025-26,Installation work of 6way semi-high mast lights at 25 locations in Assembly Constituency 142-Lakhimpur. Block Behjam,1.0,5980480.0,shri balaji transport conpany,INR,"3,924,764",1,5979818,A S CONTRACTOR,17-Mar-2026 08:40 AM,Rejected-Finance,2nd Lowest Bidder,25-Mar-2026 05:25 PM,AOC
,,,,,,,,,,,,,,2,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5980480,shri balaji transport conpany,17-Mar-2026 08:21 AM,Accepted-AOC,Accepted,08-Apr-2026 12:17 PM,AOC
