Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE LALITPUR,2026_REDUP_1120858_1,1635/RED/NIVIDA/2025-26 Date 17.02.2026,"Construction work of cremation ground on the land reserved for cremation ground in village Bagouni of development block Madawara of Legislative Assembly Mahroni, District Lalitpur",1.0,5968575.0,PT. SHIVSHANKAR TIWARI TRADERS /JITENDRA KUMAR TIWARI,INR,"676,467.79",1,5968590,MS SAANVI CONSTRUCTION/VIPIN KUMAR NIRANJAN,12-Mar-2026 06:22 PM,Rejected-Finance,L-2,25-Mar-2026 10:40 AM,17-Apr-2026,"INR 676,467.79",120.0,SUNIL KUMAR TRIPATHI,28-Apr-2026 06:05 PM,39.pdf (454.00 KB),All Formulties Complete,EE RED LALITPUR,Internal,AE DAO,Swarna Singh,25-Mar-2026 10:40 AM,finsummary_2085073.pdf (699.92 KB),Technical,Technical bid open,Swarna Singh,13-Mar-2026 04:42 PM,,EE RED LALITPUR,Internal,AE DAO,Swarna Singh,16-Mar-2026 03:16 PM,19-Mar-2026 03:00 PM,techsummary_2085073.pdf (358.30 KB),Finance,Financial Bid Open,Swarna Singh,19-Mar-2026 03:31 PM,,BOQ Comparative Chart,AOC,27-Feb-2026 06:00 PM,13-Mar-2026 03:30 PM,27-Feb-2026 06:00 PM,13-Mar-2026 12:30 PM,NA ,NA ,27-Feb-2026 06:00 PM,13-Mar-2026 12:30 PM,19-Mar-2026 03:00 PM,"13,600",No,fixed,,Nil,Nil,1.0,SBI Bank,766.0,Nil,Nil,No,"Construction work of cremation ground on the land reserved for cremation ground in village Bagouni of development block Madawara of Legislative Assembly Mahroni, District Lalitpur","Construction work of cremation ground on the land reserved for cremation ground in village Bagouni of development block Madawara of Legislative Assembly Mahroni, District Lalitpur",Please refer Tender documents. ,NA ,"6,79,000",Civil Works,NA ,Tender,90.0,120.0,LALITPUR,284403.0,NA ,NA ,NA ,EE RED LALITPUR,No ,No,1,Fee/PreQual/Technical,.pdf,Technical bid,EE RED LALITPUR,EE RED LALITPUR,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE LALITPUR,1635/RED/NIVIDA/2025-26 Date 17.02.2026,2026_REDUP_1120858_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5968575,PT. SHIVSHANKAR TIWARI TRADERS /JITENDRA KUMAR TIWARI,12-Mar-2026 06:09 PM,Accepted-AOC,All Formulties Complete,28-Apr-2026 06:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial bid ope,,,,,,,,,,,,,,,,,AOC
