Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,1463_12/Mlay/KHERI/2025-26,2026_REDUP_1110496_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"Interlock construction work from house of Shivdas Singh to house of Suresh Singh, via house of Blaster Singh, in the village Baghamra of Gram Panchayat Mooda Jawahar. Block Gola","Interlock construction work from house of Shivdas Singh to house of Suresh Singh, via house of Blaster Singh, in the village Baghamra of Gram Panchayat Mooda Jawahar. Block Gola",Please Refer Tender Document ,NA ,"16,35,400",Civil Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,944.0,Nil,Nil,No,Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur,1,Fee/PreQual/Technical,.pdf,Technical PDF,"33,000",No,fixed,,Nil,Nil,13-Feb-2026 12:00 PM,20-Feb-2026 12:30 PM,13-Feb-2026 12:00 PM,20-Feb-2026 12:00 PM,NA ,NA ,13-Feb-2026 12:00 PM,20-Feb-2026 12:00 PM,25-Feb-2026 12:00 PM,AOC,Hemant Saxena,Internal,,RaviShanker Srivastava,23-Feb-2026 11:24 AM,25-Feb-2026 12:00 PM,techsummary_2050802.pdf (272.40 KB),Finance,Recommended for Financial Evaluation,RaviShanker Srivastava,25-Feb-2026 10:01 PM,finance_2050802.pdf,BOQ Comparative Chart,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,03-Mar-2026 11:36 AM,finsummary_2050802.pdf (982.65 KB),Technical,Recommended for Technical Evaluation,RaviShanker Srivastava,20-Feb-2026 03:56 PM,technical_2050802.pdf,1.0,5897946.0,RAJ KUMAR GIRI,INR,"1,635,235",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2026_REDUP_1110496_1,1463_12/Mlay/KHERI/2025-26,"Interlock construction work from house of Shivdas Singh to house of Suresh Singh, via house of Blaster Singh, in the village Baghamra of Gram Panchayat Mooda Jawahar. Block Gola",1,5900520,NEERAJ CONSTRUCTION AND SUPPLIER,20-Feb-2026 09:31 AM,Rejected-Finance,2nd Lowest Bidder,03-Mar-2026 11:36 AM,12-Mar-2026,"INR 1,635,235",60.0,Rajendra Nath Chaturvedi,01-Apr-2026 01:56 PM,AOC_1463_12.pdf (383.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5897946,RAJ KUMAR GIRI,19-Feb-2026 08:56 PM,Accepted-AOC,Accepted,01-Apr-2026 01:57 PM,,,,,,,AOC
