Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Lucknow II,2026_UPRNS_1122113_1,579/UPRNSS/E-TENDER/2025-26 DATE 28-02-2026,"CONSTRUCTION WORK OF SYNTHETIC HOCKEY ASTROTURF GROUND AT SPORTS STADIUM, DISTRICT-PILIBHIT(U.P.)",1.0,5985517.0,Balaji Associates,INR,"70,876,544",1,5985517,Balaji Associates,18-Mar-2026 03:29 PM,Accepted-AOC,Due to Low Rate Quoted,15-Apr-2026 05:47 PM,15-Apr-2026,"INR 70,876,544",540.0,VIJAY BAHADUR SINGH,15-Apr-2026 05:47 PM,1122113.pdf (715.00 KB),TENDER AWARDED TO M/S BALAJI ASSOCIATES,JITENDRA BAHADUR SINGH(S.E.),Internal,"UMESH CHANDRA DUBEY(EE), ARUNENDRA KUMAR SINGH(EE), ANAVIL SINGH(AE), ANIL KUMAR(JE), VIJAY BAHADUR SINGH(ACCTT.)",VIJAY BAHADUR SINGH,15-Apr-2026 05:45 PM,finsummary_2089009.pdf (307.56 KB),Technical,03 BIDS ARE ADMITTED,VIJAY BAHADUR SINGH,23-Mar-2026 01:43 PM,,JITENDRA BAHADUR SINGH(S.E.),Internal,"UMESH CHANDRA DUBEY(EE), ARUNENDRA KUMAR SINGH(EE), ANAVIL SINGH(AE), ANIL KUMAR(JE), VIJAY BAHADUR SINGH(ACCTT.)",VIJAY BAHADUR SINGH,23-Mar-2026 01:45 PM,23-Mar-2026 03:45 PM,techsummary_2089009.pdf (1559.88 KB),Finance,FINANCE,VIJAY BAHADUR SINGH,23-Mar-2026 04:08 PM,,BOQ Comparative Chart,AOC,SUPERINTENDING ENGINEER LUCKNOW ZONE,"UPRNSS, 4/612, Sector-4, Gomti Nagar Vistar, Lucknow",1,BG - Bank Guarantee,"CONSTRUCTION WORK OF SYNTHETIC HOCKEY ASTROTURF GROUND AT SPORTS STADIUM, DISTRICT-PILIBHIT(U.P.)",SEE IN TECHNICAL BOQ,Please refer Tender documents. ,NA ,"7,09,12,000",Civil Works,NA ,Tender,90.0,540.0,PILIBHIT,262001.0,SHAHJAHANPUR ,"Office of E.E, UPRNSS Unit Shahjahanpur ",10-Mar-2026 11:00 AM ,LUCKNOW,No ,No,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Lucknow II,579/UPRNSS/E-TENDER/2025-26 DATE 28-02-2026,2026_UPRNS_1122113_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"14,18,300",No,fixed,,"EXECUTIVE ENGINEER, UPRNSS UNIT SHAHJAHANPUR",SHAHJAHANPUR,06-Mar-2026 09:00 AM,19-Mar-2026 12:00 PM,06-Mar-2026 09:00 AM,18-Mar-2026 06:00 PM,NA ,NA ,06-Mar-2026 09:55 AM,18-Mar-2026 06:00 PM,23-Mar-2026 03:45 PM,"11,800",UTTAR PRADESH RAJYA NIRMAN SAHKARI SANGH LTD.,SHAHJAHANPUR,No,AOC
,,,,,,,,,2,5985890,M/s Balwant Singh,18-Mar-2026 05:11 PM,Rejected-AOC,Due to High Rate Quoted,15-Apr-2026 05:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5984722,NEW REGENT TRADING COMPANY,18-Mar-2026 01:18 PM,Rejected-Technical,TECHNICAL NOT QUALIFIED,23-Mar-2026 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
