Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,Certificateofnon-pending5workasperthecontractonstamppaperofRs.100as perSerialNo.14oftenderconditions,10-Jan-2026 03:00 PM,16-Jan-2026 04:00 PM,10-Jan-2026 03:00 PM,16-Jan-2026 03:00 PM,NA ,NA ,10-Jan-2026 03:00 PM,16-Jan-2026 03:00 PM,"CHIEF ENGINEER, KMC",Motijheel,"99,961",No,percentage,10.0%,Nil,Nil,1.0,SBI Bank,"Kanpur Municipal Corporation, Kanpur, UP",345/AA-2/25-26,2026_NNKAN_1105336_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,Improvement of Road By C.C. from H/O Bablu to H/O Kallu rani in Ward-11 Under Zone-2,Improvement of Road By C.C. from H/O Bablu to H/O Kallu rani in Ward-11 Under Zone-2,Please refer Tender documents. ,NA ,"9,99,605",Civil Works,NA ,Tender,90.0,45.0,zone 2,208011.0,NA ,NA ,NA ,"OFFICE OF THE CHIEF ENGINEER, KMC",No ,No,AOC,CE,Internal,,DIVAKAR BHASKAR,20-Jan-2026 12:58 PM,finsummary_2039500.pdf (194.18 KB),CE,Internal,,DIVAKAR BHASKAR,20-Jan-2026 12:56 PM,techsummary_2039500.pdf (194.18 KB),1,5806880,M/S BABA ANANDESWAR SUPPLIERS,15-Jan-2026 05:17 PM,Accepted-AOC,aoc,08-Apr-2026 05:16 PM,1.0,5806880.0,M/S BABA ANANDESWAR SUPPLIERS,INR,"822,308","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1105336_1,345/AA-2/25-26,Improvement of Road By C.C. from H/O Bablu to H/O Kallu rani in Ward-11 Under Zone-2,01-Apr-2026,"INR 822,308",45.0,DIVAKAR BHASKAR,08-Apr-2026 05:16 PM,1105336baba.pdf (283.00 KB),Finance,M/S BABA ANANDESWAR SUPPLIERS,DIVAKAR BHASKAR,20-Jan-2026 11:28 AM,,BOQ Comparative Chart,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,5807080,REETIKA ENTERPRISES,15-Jan-2026 06:28 PM,Rejected-Finance,L2,20-Jan-2026 12:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC
