S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,DD - Demand Draft,"1,655",UPSCIDCOLTD,shravasti,No,1.0,Date,Date,,10Mtr. Highmast Light work at Various Blocks at Distt. Shravasti (Vidhayak Nidhi work)2nd,10Mtr. Highmast Light work at Various Blocks at Distt. Shravasti (Vidhayak Nidhi work)2nd,10Mtr. Highmast Light work at Various Blocks at Distt. Shravasti (Vidhayak Nidhi work)2nd ,NA ,,Electrical Works,NA ,Tender,90.0,90.0,Shravasti,271805.0,NA ,NA ,NA ,Bahraich,No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Lucknow,92/EE(E)/Shravasti/E-Ten/25-26,2026_SCIDC_1126639_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"21,000",No,fixed,,UPSCIDCOLTD,Shravasti,Executive Engineer (E),UPSCIDCO Tikoni Bagh police chauki Siddiqui Masjid ke pass Najirpur Bahraich,1.0,Fee/PreQual/Technical,.pdf,"Tender fee, EMD and Document",17-Mar-2026 06:55 PM,25-Mar-2026 02:00 PM,17-Mar-2026 06:55 PM,25-Mar-2026 12:00 PM,NA ,NA ,17-Mar-2026 06:55 PM,25-Mar-2026 12:00 PM,01-Apr-2026 04:40 PM,AOC,Shri Sudhir Kumar,Internal,Attached,Sudhir Kumar,01-Apr-2026 04:38 PM,01-Apr-2026 04:40 PM,techsummary_2101060.pdf (56.73 KB),Finance,Attached,Sudhir Kumar,02-Apr-2026 04:04 PM,finance_2101060.pdf,BOQ Comparative Chart,Shri Sudhir Kumar,Internal,Attached,Sudhir Kumar,02-Apr-2026 04:59 PM,finsummary_2101060.pdf (56.73 KB),Technical,Attached,Sudhir Kumar,01-Apr-2026 04:05 PM,technical_2101060.pdf,1.0,6000626.0,Excellent Constructions,24-Mar-2026 11:20 AM,Rejected-Finance,Quoted Amount Rate in high,02-Apr-2026 04:59 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Lucknow,2026_SCIDC_1126639_1,92/EE(E)/Shravasti/E-Ten/25-26,10Mtr. Highmast Light work at Various Blocks at Distt. Shravasti (Vidhayak Nidhi work)2nd,1.0,5996375.0,M/S SWARAJSHAKTI INDUSTRIES PRIVATE LIMITED,INR,"1,050,948",06-Apr-2026,"INR 1,050,948",90.0,Sudhir Kumar,18-Apr-2026 06:38 PM,Karyadeshsravasti_2.pdf (737.00 KB),Attached,AOC
2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5996375.0,M/S SWARAJSHAKTI INDUSTRIES PRIVATE LIMITED,24-Mar-2026 04:18 PM,Accepted-AOC,Accepted,18-Apr-2026 06:38 PM,,,,,,,,,,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
