Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Construction of Community hall in the village of Sitaura in the Chirgaon Development Block,Construction of Community hall in the village of Sitaura in the Chirgaon Development Block,AS PER NIT ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Jhansi,284003.0,NA ,NA ,NA ,Jhansi,No ,No,1.0,SBI Bank,"28,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical,"5,900",Nil,Nil,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-12 Orai,07/PM12/UPPCL/2025-26,2026_UPPRC_1128918_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Project Manager Unit 12,129 K K PURI AWAS VIKAS JHANSI,23-Mar-2026 09:00 AM,28-Mar-2026 04:00 PM,23-Mar-2026 09:00 AM,28-Mar-2026 03:00 PM,23-Mar-2026 09:00 AM ,28-Mar-2026 03:00 PM ,23-Mar-2026 09:00 AM,28-Mar-2026 03:00 PM,01-Apr-2026 02:00 PM,AOC,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-12 Orai,2026_UPPRC_1128918_12,07/PM12/UPPCL/2025-26,Construction of Community hall in the village of Sitaura in the Chirgaon Development Block,1,6016167,ONES ASSOCIATION,28-Mar-2026 01:22 PM,Rejected-AOC,l2,20-Apr-2026 02:52 PM,Finance,Two Bid Admitted,PRAVEEN KUMAR SHARMA,20-Apr-2026 11:52 AM,finance_2105854.pdf,BOQ Comparative Chart,PM 12 Jhansi,Internal,Ravikant Accountant,PRAVEEN KUMAR SHARMA,20-Apr-2026 01:20 PM,finsummary_2105854.pdf (1030.25 KB),1.0,6016322.0,RUDRAKSH ELECTRICAL AND CONSTRUCTION,INR,"1,167,963.4",Technical,Two bids admitted,PRAVEEN KUMAR SHARMA,29-Mar-2026 11:50 AM,technical_2105854.pdf,20-Apr-2026,"INR 1,167,963.4",30.0,PRAVEEN KUMAR SHARMA,20-Apr-2026 02:52 PM,aoc12.pdf (409.00 KB),PM 12 Jhansi,Internal,Ravikant Accountant,PRAVEEN KUMAR SHARMA,01-Apr-2026 12:57 PM,01-Apr-2026 02:00 PM,techsummary_2105854.pdf (869.98 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,6016322,RUDRAKSH ELECTRICAL AND CONSTRUCTION,28-Mar-2026 02:34 PM,Accepted-AOC,l1,20-Apr-2026 02:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
