Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Chilkahar,1224 Date 28-03-2026 Work No 2,2026_RDUP_1133213_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,bhaadapa mein pich sadak se sukhanandan ke ghar tak rangeen intaraloking jig jaig pevars ka nirmaan kaary,bhaadapa mein pich sadak se sukhanandan ke ghar tak rangeen intaraloking jig jaig pevars ka nirmaan kaary,NIT ,NA ,"2,79,000",Civil Works,NA ,Tender,90.0,90.0,KP CHILKAHAR,221701.0,NA ,NA ,NA ,BDO OFFICE CHILKAHAR,No ,No,500.0,BDO CHILKAHAR,CHILKAHAR,No,04-Apr-2026 03:00 PM,15-Apr-2026 04:00 PM,04-Apr-2026 03:00 PM,15-Apr-2026 03:00 PM,NA ,NA ,04-Apr-2026 03:00 PM,15-Apr-2026 03:00 PM,16-Apr-2026 10:00 AM,BDO CHILKAHAR,BDO OFFICE CHILKAHAR,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"5,580",No,fixed,,BDO CHILKAHAR,CHILKAHAR,AOC,"VINOD KUMAR BIND, BDO PC BARANWAL, JE RED SURESH KUMAR, ACCOUNTANT",Internal,,VINOD KUMAR BIND,16-Apr-2026 07:59 PM,finsummary_2115293.pdf (201.39 KB),Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Chilkahar,2026_RDUP_1133213_1,1224 Date 28-03-2026 Work No 2,bhaadapa mein pich sadak se sukhanandan ke ghar tak rangeen intaraloking jig jaig pevars ka nirmaan kaary,Technical,Bid Opening Summary,VINOD KUMAR BIND,15-Apr-2026 06:56 PM,,1.0,6045141.0,M/S JAI MAA BHAGAWATI VINDHYACHALI TRADERS,INR,"278,748.9",1.0,6048458.0,BHAGWAN VENKTES CONSTRUCTION AND SUPPLIERS,15-Apr-2026 12:12 PM,Rejected-AOC,L3,17-Apr-2026 03:21 PM,16-Apr-2026,"INR 278,748.9",90.0,VINOD KUMAR BIND,17-Apr-2026 03:21 PM,2.pdf (60.00 KB),AOC,Finance,Bid Opening Summary,VINOD KUMAR BIND,16-Apr-2026 07:32 PM,,BOQ Comparative Chart,"VINOD KUMAR BIND, BDO PC BARANWAL, JE RED SURESH KUMAR, ACCOUNTANT",Internal,,VINOD KUMAR BIND,15-Apr-2026 07:13 PM,16-Apr-2026 10:00 AM,techsummary_2115293.pdf (201.39 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,2.0,Finance,.xls,Finance,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,6045215.0,MAA ENTERPRISES,14-Apr-2026 01:13 AM,Rejected-AOC,L2,17-Apr-2026 03:21 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3.0,6045141.0,M/S JAI MAA BHAGAWATI VINDHYACHALI TRADERS,14-Apr-2026 12:03 AM,Accepted-AOC,L1,17-Apr-2026 03:21 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
