Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Pushp Raj Singh,Internal,"Santosh Kumar Kushwaha CFAO, Kishan Singh SE",Kishan Singh,29-Mar-2026 11:35 AM,30-Mar-2026 11:45 AM,techsummary_2083845.pdf (210.91 KB),08-Apr-2026,"INR 2,829,367.67",120.0,Kishan Singh,17-Apr-2026 04:00 PM,img04172026_0018.pdf (254.00 KB),Quoted amount 2397769.21 GST 18 Percent 431598.46 Total 2829367.67,Technical,Admitted,Kishan Singh,29-Mar-2026 11:34 AM,technical_2083845.pdf,Finance,Admitted,Kishan Singh,06-Apr-2026 03:30 PM,finance_2083845.pdf,BOQ Comparative Chart,Pushp Raj Singh,Internal,"Santosh Kumar Kushwaha CFAO, Kishan Singh SE",Kishan Singh,06-Apr-2026 03:36 PM,finsummary_2083845.pdf (208.75 KB),1.0,5947592.0,M/s ARJUN ASSOCIATES,INR,"2,829,367.67",1,5947592,M/s ARJUN ASSOCIATES,05-Mar-2026 01:00 PM,Accepted-AOC,Qualified,17-Apr-2026 04:00 PM,Gorakhpur Development Authority,2026_GORDA_1119902_12,41/GDA/2025-26/11022026,Construction of RCC drains and roads in the parks and streets located near LIG-487 and 492 within Siddharth Enclave Colony.,AOC,Excutive Engineer,"GDA Office, Taramandal, Gorakhpu.",26-Feb-2026 02:30 PM,06-Mar-2026 03:30 PM,26-May-2026 05:57 PM,06-Mar-2026 02:30 PM,26-Feb-2026 02:30 PM ,06-Mar-2026 12:00 PM ,26-Feb-2026 02:30 PM,06-Mar-2026 02:30 PM,30-Mar-2026 11:45 AM,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Construction of RCC drains and roads in the parks and streets located near LIG-487 and 492 within Siddharth Enclave Colony.,Please refer Tender documents,Please refer Tender documents. ,NA ,"24,40,725",Civil Works,NA ,Tender,90.0,120.0,"Taramandal, Gorakhpur",273001.0,NA ,NA ,NA ,GDA Office,No ,No,"1,180",Nil,Nil,No,1.0,SBI Bank,"2,44,500",No,fixed,,Nil,Nil,Gorakhpur Development Authority,41/GDA/2025-26/11022026,2026_GORDA_1119902_12,Yes,Open Limited,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5947675,M/s Arya Construction,05-Mar-2026 12:21 PM,Rejected-Finance,High Amount Quoted,06-Apr-2026 03:36 PM,,,,,AOC,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
