Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"CONSTRUCTION WORK OF PRIMARY HEALTH CENTRE BHARKHANI, DISTRICT-HARDOI(U.P.)",SEE IN TECHNICAL BOQ,Please refer Tender documents. ,NA ,"1,94,12,000",Civil Works,NA ,Tender,90.0,365.0,HARDOI,241001.0,LUCKNOW ,"Office of EE, UPRNSS Unit Lucknow-2, 4/612, Gomti Nagar Vistar, Lucknow ",06-Jan-2026 11:00 AM ,LUCKNOW,No ,No,1.0,Class of Registration,Other,,1.0,BG - Bank Guarantee,"3,88,500",No,fixed,,"EXECUTIVE ENGINEER, UPRNSS UNIT LUCKNOW-2",Lucknow,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,449/UPRNSS/E-TENDER/2025-26 DATE 29-12-2025,2026_UPRNS_1103479_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,02-Jan-2026 12:00 PM,19-Jan-2026 01:00 PM,02-Jan-2026 12:00 PM,19-Jan-2026 12:00 PM,NA ,NA ,02-Jan-2026 12:00 PM,19-Jan-2026 12:00 PM,30-Jan-2026 01:00 PM,"7,080",UTTAR PRADESH RAJYA NIRMAN SAHKARI SANGH LTD.,Lucknow,No,SUPERINTENDING ENGINEER LUCKNOW ZONE,"UPRNSS, 4/612, Sector-4, Gomti Nagar Vistar, Lucknow",AOC,Finance,FINANCE,VIJAY BAHADUR SINGH,30-Jan-2026 01:08 PM,,BOQ Comparative Chart,JITENDRA BAHADUR SINGH(S.E.),Internal,"ARUNENDRA KUMAR SINGH(EE), ABHINAV SHARMA(AE), ANIL KUMAR(JE), VIJAY BAHADUR SINGH(ACCTT.)",Arunendra Kumar Singh,30-Jan-2026 10:11 AM,30-Jan-2026 01:00 PM,techsummary_2034960.pdf (918.81 KB),Technical,05 BIDS ARE ADMITTED,VIJAY BAHADUR SINGH,20-Jan-2026 03:00 PM,,JITENDRA BAHADUR SINGH(S.E.),Internal,"ARUNENDRA KUMAR SINGH(EE), ABHINAV SHARMA(AE), ANIL KUMAR(JE), VIJAY BAHADUR SINGH(ACCTT.)",Arunendra Kumar Singh,02-Feb-2026 04:39 PM,finsummary_2034960.pdf (403.70 KB),11-Feb-2026,"INR 19,402,294",365.0,Arunendra Kumar Singh,15-Apr-2026 03:52 PM,PHCBharkhani.pdf (810.00 KB),TENDER AWARDED TO M/S ANAND ENTERPRISES,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2026_UPRNS_1103479_1,449/UPRNSS/E-TENDER/2025-26 DATE 29-12-2025,"CONSTRUCTION WORK OF PRIMARY HEALTH CENTRE BHARKHANI, DISTRICT-HARDOI(U.P.)",1.0,5812731.0,M/S ANAND ENTERPRISES,INR,"19,402,294",1,5812731,M/S ANAND ENTERPRISES,18-Jan-2026 09:36 PM,Accepted-AOC,Due to Low Rate Quoted,15-Apr-2026 03:52 PM,AOC
2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5812471,M/S RUDRA CONSTRUCTIONS,19-Jan-2026 07:47 AM,Rejected-Technical,TECHNICAL NOT QUALIFIED,30-Jan-2026 10:11 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5811621,M/s Virendra Kumar Singh,17-Jan-2026 07:55 PM,Rejected-AOC,Due to High Rate Quoted,15-Apr-2026 03:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5811716,NEW REGENT TRADING COMPANY,17-Jan-2026 09:45 PM,Rejected-AOC,Due to High Rate Quoted,15-Apr-2026 03:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5811377,SILVER LEAF ENGINEERS,17-Jan-2026 05:21 PM,Rejected-Technical,TECHNICAL NOT QUALIFIED,30-Jan-2026 10:11 AM,AOC
