Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow",2026_UPIDC_1132449_1,10/SE-XII/2025-26,"Annual Maintenance of Pandit Deen Dayal Upadhyay Irrigation and Cultural museum, Garden Raibareli Road, Lucknow for the financial year 2026-27.",1.0,6036764.0,Raj Boux Yadav,INR,"7,665,157.61",1,6039750,ADA ELECTRIC COMPANY,10-Apr-2026 12:50 PM,Rejected-Finance,2nd Lowest,21-Apr-2026 05:59 PM,22-Apr-2026,"INR 7,665,157.61",365.0,Lavkush Singh,28-Apr-2026 05:06 PM,AOC.pdf (704.00 KB),AOC,"LAVKUSH SINGH, SE XII CIRCLE",Internal,VIKAS SINGH EE ICD1 LKO,Lavkush Singh,15-Apr-2026 12:20 PM,18-Apr-2026 12:25 PM,techsummary_2113580.pdf (741.08 KB),Finance,Financial Opened,Lavkush Singh,18-Apr-2026 02:30 PM,,BOQ Comparative Chart,"LAVKUSH SINGH, SE XII CIRCLE",Internal,Vikas Singh EE ICD1 LKO,Lavkush Singh,21-Apr-2026 05:59 PM,finsummary_2113580.pdf (656.37 KB),Technical,Technical Opened,Lavkush Singh,10-Apr-2026 03:42 PM,,AOC,"1,66,000",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow",10/SE-XII/2025-26,2026_UPIDC_1132449_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,PRE QUALFICATION DOCUMENTS,"3,689",Nil,Nil,No,"Annual Maintenance of Pandit Deen Dayal Upadhyay Irrigation and Cultural museum, Garden Raibareli Road, Lucknow for the financial year 2026-27.","Annual Maintenance of Pandit Deen Dayal Upadhyay Irrigation and Cultural museum, Garden Raibareli Road, Lucknow for the financial year 2026-27.",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,365.0,LUCKNOW,226025.0,GANGA SINCHAI BHAWAN TELIBAGH LUCKNOW ,GANGA SINCHAI BHAWAN TELIBAGH LUCKNOW ,06-Apr-2026 02:00 PM ,LUCKNOW,No ,No,SE XII CIRCLE IRRIGATION WORKS LUCKNOW,"GANGA SINCHAI BHAWAN, TELIBAGH, LUCKNOW",1.0,SBI Bank,02-Apr-2026 09:00 AM,10-Apr-2026 03:30 PM,02-Apr-2026 10:00 AM,10-Apr-2026 03:00 PM,NA ,NA ,02-Apr-2026 10:00 AM,10-Apr-2026 03:00 PM,18-Apr-2026 12:25 PM,AOC
,,,,,,,,,2,6029392,M.R. CONSULTANTS & CONSTRUCTIONS,10-Apr-2026 12:19 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,15-Apr-2026 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6039737,M/S ADITYA CONSTRUCTION COMPANY,10-Apr-2026 11:54 AM,Rejected-Technical,TECHNICALLY DISQUALIFIED,15-Apr-2026 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6036764,Raj Boux Yadav,10-Apr-2026 11:58 AM,Accepted-AOC,1ST LOWEST,28-Apr-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
