Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
17-Jan-2026 09:00 AM,30-Jan-2026 04:00 PM,17-Jan-2026 09:00 AM,30-Jan-2026 03:00 PM,NA ,NA ,17-Jan-2026 09:00 AM,30-Jan-2026 03:00 PM,1.0,SBI Bank,Improvement work of road by laying drain and interlocking tiles from Sharad Tripathi house to Idrish house and from Manju Kushwaha house to Neeraj Paswan house in Ward 08 Maswanpur under Zone 06.,Improvement work of road by laying drain and interlocking tiles from Sharad Tripathi house to Idrish house and from Manju Kushwaha house to Neeraj Paswan house in Ward 08 Maswanpur under Zone 06.,Please refer Tender documents. ,NA ,"24,80,000",Civil Works,NA ,Tender,180.0,60.0,kanpur,208001.0,NA ,NA ,NA ,CE OFFICE KNN MOTI JHEEL,No ,No,"1,770",Nil,Nil,No,CE KNN,CE OFFICE KNN MOTI JHEEL,"Kanpur Municipal Corporation, Kanpur, UP",397/AA-6/2025-26,2026_NNKAN_1106882_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,48,000",No,percentage,10.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,AOC,EE-6,Internal,,Tota Ram,13-Feb-2026 12:25 PM,finsummary_2042300.pdf (42.02 KB),EE-6,Internal,,Tota Ram,13-Feb-2026 12:15 PM,techsummary_2042300.pdf (42.02 KB),"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1106882_1,397/AA-6/2025-26,Improvement work of road by laying drain and interlocking tiles from Sharad Tripathi house to Idrish house and from Manju Kushwaha house to Neeraj Paswan house in Ward 08 Maswanpur under Zone 06.,1,5831750,ARYA CONSTRUCTION,29-Jan-2026 06:31 PM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,Finance,All Bids are admitted,Tota Ram,06-Feb-2026 01:32 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,AOC,,,,,,,,,,,,,,,,,2,5829377,BALAJI BUILDERS,30-Jan-2026 11:44 AM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,3,5830990,M/s Anmol Trading Company,29-Jan-2026 01:15 PM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,4,5832674,m/s Bajrang enterprises,30-Jan-2026 12:20 PM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,5,5832714,M/s HARSH CONSTRUCTION WORKS,30-Jan-2026 12:46 PM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,6,5832205,M/s India Traders,29-Jan-2026 11:35 PM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,7,5831715,M/S KARTIKAY CONSTRUCTION COMPANY,30-Jan-2026 01:23 PM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,8,5832225,M/s Krishna construction company,30-Jan-2026 02:01 AM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,9,5831745,M/S Maa Bhagwati construction and supllier,29-Jan-2026 06:38 PM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,10,5831336,M/s Maa Pitambra Enterprises,29-Jan-2026 03:40 PM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,11,5828730,M/S OM SAI CONSTRUCTION CO.,28-Jan-2026 03:15 PM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,12,5830760,M/S P.K. ENTERPRISE,30-Jan-2026 12:57 PM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,13,5829336,M/S PUSHPA CONSTRUCTION,29-Jan-2026 03:47 PM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,14,5832522,M/S SAHIL TRADERS,30-Jan-2026 11:10 AM,Rejected-Finance,No Lottery Winner,13-Feb-2026 12:25 PM,,,,,,,AOC
