Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
24-Mar-2026 10:00 AM,06-Apr-2026 12:00 PM,24-Mar-2026 10:00 AM,04-Apr-2026 05:00 PM,NA ,NA ,24-Mar-2026 10:00 AM,04-Apr-2026 05:00 PM,08-Apr-2026 10:00 AM,"19,840",No,fixed,,BDO NAGRA,NAGRA,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Nagra,1274 Date 20-03-2026 Lot No - 67,2026_RDUP_1129365_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,parashuraamapur me nagara-baraulee maarg se harijan bastee hote hue raajaasheesh ke ghar tak jig-jaig nirmaan kaary.,parashuraamapur me nagara-baraulee maarg se harijan bastee hote hue raajaasheesh ke ghar tak jig-jaig nirmaan kaary.,NIT ,NA ,"9,92,000",Civil Works,NA ,Tender,90.0,90.0,KP NAGRA,221711.0,NA ,NA ,NA ,BDO OFFICE NAGRA,No ,No,"1,000",BDO NAGRA,NAGRA,No,BDO NAGRA,BDO OFFICE NAGRA,AOC,1.0,6028479.0,DIWAN YADAV,03-Apr-2026 08:17 PM,Accepted-AOC,L1,10-Apr-2026 07:45 PM,10-Apr-2026,"INR 991,008",90.0,ABHINENDRA SINGH,10-Apr-2026 07:45 PM,67.pdf (57.00 KB),AOC,Finance,Bid Opening Summary,ABHINENDRA SINGH,08-Apr-2026 07:56 PM,,BOQ Comparative Chart,"ABHINENDRA SINGH, BDO PRAVIN CHANDRA BARNAWAL, JERED VIJAYANT PRATAP SINGH, ACCOUNTANT",Internal,,ABHINENDRA SINGH,07-Apr-2026 08:40 PM,08-Apr-2026 10:00 AM,techsummary_2106655.pdf (343.01 KB),"ABHINENDRA SINGH, BDO PRAVIN CHANDRA BARNAWAL, JERED VIJAYANT PRATAP SINGH, ACCOUNTANT",Internal,,ABHINENDRA SINGH,09-Apr-2026 07:35 PM,finsummary_2106655.pdf (343.01 KB),Technical,Bid Opening Summary,ABHINENDRA SINGH,07-Apr-2026 08:00 PM,,Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Nagra,2026_RDUP_1129365_1,1274 Date 20-03-2026 Lot No - 67,parashuraamapur me nagara-baraulee maarg se harijan bastee hote hue raajaasheesh ke ghar tak jig-jaig nirmaan kaary.,1.0,6028479.0,DIWAN YADAV,INR,"991,008",AOC
,,,,,,,,,,,,,,,2,BC - Bankers Cheque,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,6028307.0,M/s Gauri Enterprises,03-Apr-2026 06:22 PM,Rejected-AOC,L3,10-Apr-2026 07:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,6027416.0,M/S MAA DURGA ENTERPRISES,03-Apr-2026 02:05 PM,Rejected-AOC,L2,10-Apr-2026 07:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
