S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,6004273.0,MONIKA ENTERPRISES,24-Mar-2026 05:30 PM,Rejected-Finance,Quoted Amount Rate in High,07-Apr-2026 06:40 PM,1.0,6014572.0,M/S GARG ASSOCIATES,INR,"4,133,198.32",U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,2026_SCIDC_1128815_1,1363/SE (E)/LKO/Siddharthnagar/25-26,"Work involving the installation of 9 units of 12.50-meter high-mast lights in the Lotan, Birdpur, Jogia, and Uska Bazar Development Blocks of Siddharthnagar District, and 1 unit of a 16-meter high-mast light at the Kakrahi Ghat intersection in Jogia.",08-Apr-2026,"INR 4,133,198.32",180.0,Ram Nayan,20-Apr-2026 07:11 PM,Karyadesh_1128815.pdf (762.00 KB),Attached,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,06-Apr-2026 05:33 PM,06-Apr-2026 05:35 PM,techsummary_2105411.pdf (574.42 KB),Finance,Attached,Ram Nayan,07-Apr-2026 06:36 PM,finance_2105411.pdf,BOQ Comparative Chart,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,07-Apr-2026 06:40 PM,finsummary_2105411.pdf (556.88 KB),Technical,Attached,Ram Nayan,06-Apr-2026 05:32 PM,technical_2105411.pdf,AOC,"1,655",UPSCIDCOLTD,Siddharthnagar,No,"83,000",No,fixed,,UPSCIDCOLTD,Siddharthnagar,23-Mar-2026 09:00 AM,31-Mar-2026 01:00 PM,23-Mar-2026 09:00 AM,31-Mar-2026 12:00 PM,NA ,NA ,23-Mar-2026 09:00 AM,31-Mar-2026 12:00 PM,06-Apr-2026 05:35 PM,Superintending Engineer (E),"UPSCIDCO ltd Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",1.0,Fee/PreQual/Technical,.pdf,"Tender fee, EMD and Document",1,DD - Demand Draft,"Work involving the installation of 9 units of 12.50-meter high-mast lights in the Lotan, Birdpur, Jogia, and Uska Bazar Development Blocks of Siddharthnagar District, and 1 unit of a 16-meter high-mast light at the Kakrahi Ghat intersection in Jogia.","Work involving the installation of 9 units of 12.50-meter high-mast lights in the Lotan, Birdpur, Jogia, and Uska Bazar Development Blocks of Siddharthnagar District, and 1 unit of a 16-meter high-mast light at the Kakrahi Ghat intersection in Jogia.","Work involving the installation of 9 units of 12.50-meter high-mast lights in the Lotan, Birdpur, Jogia, and Uska Bazar Development Blocks of Siddharthnagar District, and 1 unit of a 16-meter high-mast light at the Kakrahi Ghat intersection in Jogia. ",NA ,,Electrical Works,NA ,Tender,90.0,180.0,Siddharthnagar,272192.0,NA ,NA ,NA ,"Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,1363/SE (E)/LKO/Siddharthnagar/25-26,2026_SCIDC_1128815_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
2.0,6014572.0,M/S GARG ASSOCIATES,27-Mar-2026 07:49 PM,Accepted-AOC,Accepted,20-Apr-2026 07:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
