S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1,5801962,KESHAV ENTERPRISES,13-Jan-2026 05:40 PM,Accepted-AOC,L1,02-Apr-2026 12:26 PM,1.0,5801962.0,KESHAV ENTERPRISES,INR,"497,952",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,2026_REDUP_1105020_2,850/EERED/GBN//Dt-30.10.2025,Construction of Interlocking and drain work from Shri Ramchandra Sharma house to Shri T.P. Sharma house in Jyoti Nagar Yusufpur Chak Shahberi.,01-Apr-2026,"INR 497,952",90.0,ShashiBhushan Yadav,02-Apr-2026 12:26 PM,CEE.pdf (219.00 KB),SHASHI BHUSHAN YADAV,Internal,,ShashiBhushan Yadav,02-Feb-2026 04:25 PM,07-Feb-2026 12:30 PM,techsummary_2038882.pdf (219.18 KB),Finance,Summary,ShashiBhushan Yadav,13-Feb-2026 06:23 PM,finance_2038882.pdf,BOQ Comparative Chart,SHASHI BHUSHAN YADAV,Internal,,ShashiBhushan Yadav,13-Feb-2026 06:25 PM,finsummary_2038882.pdf (219.18 KB),Technical,Summary,ShashiBhushan Yadav,02-Feb-2026 04:15 PM,technical_2038882.pdf,AOC,677.0,Nil,Nil,No,"9,000",No,fixed,,Nil,Nil,EE RED GBN,EE RED GBN,09-Jan-2026 02:00 PM,14-Jan-2026 04:00 PM,09-Jan-2026 02:00 PM,14-Jan-2026 02:00 PM,NA ,NA ,09-Jan-2026 02:00 PM,14-Jan-2026 02:00 PM,07-Feb-2026 12:30 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,850/EERED/GBN//Dt-30.10.2025,2026_REDUP_1105020_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,T1,Construction of Interlocking and drain work from Shri Ramchandra Sharma house to Shri T.P. Sharma house in Jyoti Nagar Yusufpur Chak Shahberi.,Construction of Interlocking and drain work from Shri Ramchandra Sharma house to Shri T.P. Sharma house in Jyoti Nagar Yusufpur Chak Shahberi.,Civil Work  ,NA ,"4,23,000",Civil Works,NA ,Tender,90.0,90.0,EE RED GBN,201306.0,NA ,NA ,NA ,EE RED GBN,No ,No,AOC
2,5802031,YASHIKA CONSTRUCTION CO.,13-Jan-2026 05:24 PM,Rejected-Finance,L2,13-Feb-2026 06:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
