Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Pramod Kumar,Internal,AKHILESH KUMAR SINGH,Pramod Kumar,19-Feb-2026 10:55 AM,19-Feb-2026 11:00 AM,techsummary_2044849.pdf (170.15 KB),07-Apr-2026,"INR 1,095,748.27",180.0,Pramod Kumar,07-Apr-2026 05:03 PM,14.pdf (346.00 KB),L1,Technical,fila add,Pramod Kumar,19-Feb-2026 09:33 AM,technical_2044849.pdf,Pramod Kumar,Internal,akhilesh singh,Pramod Kumar,24-Feb-2026 02:33 PM,finsummary_2044849.pdf (170.15 KB),Finance,file,Pramod Kumar,23-Feb-2026 06:45 PM,finance_2044849.pdf,BOQ Comparative Chart,1.0,5824385.0,M/S VEDANT CONSTRUCTION,INR,"1,095,748.27",1,5827366,BANKE BIHARI CONTRACTOR & GENERAL ORDER SUPPLIERS,27-Jan-2026 03:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Feb-2026 09:33 AM,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",2026_UPIDC_1107737_14,03/EE/2025-26,Construction of V.R.B. at Km 7.500 of Ekauna Mr.,AOC,1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,SBI Bank,Construction of V.R.B. at Km 7.500 of Ekauna Mr.,Construction of V.R.B. at Km 7.500 of Ekauna Mr.,Please refer Tender documents. ,NA ,"11,00,000",Civil Works - Canal,NA ,Tender,90.0,180.0,Shrawasti,271805.0,NA ,NA ,NA ,EE Saryu Nahar Khand-1 Balrampur,No ,No,21-Jan-2026 10:00 AM,28-Jan-2026 11:00 AM,21-Jan-2026 10:00 AM,27-Jan-2026 05:00 PM,NA ,NA ,21-Jan-2026 10:00 AM,27-Jan-2026 05:00 PM,19-Feb-2026 11:00 AM,EE Saryu Nahar Khand-1 Balrampur,EE Saryu Nahar Khand-1 Balrampur,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",03/EE/2025-26,2026_UPIDC_1107737_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,766.0,Nil,Nil,No,"22,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5826285,GOVIND YADAV,27-Jan-2026 11:58 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Feb-2026 09:33 AM,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5825293,M/S SHRI BALA JI CONSTRUCTION,26-Jan-2026 09:26 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Feb-2026 09:33 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5824385,M/S VEDANT CONSTRUCTION,26-Jan-2026 04:48 PM,Accepted-AOC,L1,07-Apr-2026 05:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5824585,RAJESH KUMAR MISHRA,26-Jan-2026 06:21 PM,Rejected-Finance,L2,24-Feb-2026 02:33 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
