EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"30,000",Yes,fixed,,Nil,Nil,GRAM NARAYANPUR BANDHA SADAK PWD SADAK SE RAJENDRA BARI KE GHAR TAK CC SADAK NIRMAN KARYA,GRAM NARAYANPUR BANDHA SADAK PWD SADAK SE RAJENDRA BARI KE GHAR TAK CC SADAK NIRMAN KARYA,GRAM NARAYANPUR BANDHA SADAK PWD SADAK SE RAJENDRA BARI KE GHAR TAK CC SADAK NIRMAN KARYA ,NA ,"14,96,000",Civil Works,NA ,Tender,120.0,120.0,DEORIA,274001.0,NA ,NA ,NA ,DEORIA,No ,No,EXECUTIVE ENGINEER,"OFFICE OF THE EXECUTIVE ENGINEER, RURAL ENGINEERING DEPARTMENT, DIVISION DEORIA",766.0,Nil,Nil,No,26-May-2026 05:36 PM,18-Feb-2026 02:30 PM,10-Feb-2026 10:00 AM,17-Feb-2026 12:00 PM,NA ,NA ,10-Feb-2026 10:00 AM,17-Feb-2026 12:00 PM,21-Feb-2026 05:36 PM,1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,1693/RED DEORIA/E-TENDER/2025-26. DATED 07.01.2026,2026_REDUP_1113993_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC,Finance,Financial Bid Open,Surya Prakash,21-Feb-2026 01:54 PM,,BOQ Comparative Chart,Er. Surya Prakash,Internal,Er. Dinesh Kumar Kesarwani AE and Shri Kanhaiya Lal DAO,Surya Prakash,20-Feb-2026 03:51 PM,21-Feb-2026 10:00 AM,techsummary_2064594.pdf (466.41 KB),Technical,Technical Bid Open,Surya Prakash,19-Feb-2026 01:23 PM,,Er. Surya Prakash,Internal,,Surya Prakash,25-Apr-2026 02:26 PM,finsummary_2064594.pdf (1638.54 KB),25-Apr-2026,"INR 1,267,076.48",120.0,Surya Prakash,25-Apr-2026 02:28 PM,343.pdf (1639.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,2026_REDUP_1113993_2,1693/RED DEORIA/E-TENDER/2025-26. DATED 07.01.2026,GRAM NARAYANPUR BANDHA SADAK PWD SADAK SE RAJENDRA BARI KE GHAR TAK CC SADAK NIRMAN KARYA,1.0,5877991.0,M/S MAA SAVITRI CONSTRUCTIONS,INR,"1,267,076.48",1,5878065,M/S MAA PITAMBARA CONSTRUCTION,16-Feb-2026 09:17 PM,Rejected-Finance,Highest Rate,25-Apr-2026 02:26 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5877991,M/S MAA SAVITRI CONSTRUCTIONS,16-Feb-2026 05:48 PM,Accepted-AOC,Lowest Rate,25-Apr-2026 02:28 PM,AOC
