Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
21-Apr-2026,"INR 492,780",60.0,Shiv Kumar,21-Apr-2026 03:29 PM,20.pdf (150.00 KB),1.0,6041966.0,M/S SANJAY TIWARI CONTRACTOR,INR,"492,780",Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,2026_DOLBU_1129167_1,1342/NP/NV/RVA/2025-26,20-npp sandila me wn22 me mumtaz ke makan se sahabram se shameen khan hote huye shammu khan ke school tak cc sadak va nali nirman karya,1.0,6042500.0,M/S PARVEZ ALAM CONTRACTOR AND SUPPLIERS,12-Apr-2026 05:18 PM,Rejected-AOC,L2,21-Apr-2026 03:29 PM,Finance,SANJAY TIWARI CONTRACTOR WINNER,Shiv Kumar,21-Apr-2026 03:23 PM,,BOQ Comparative Chart,eo and je,Internal,,Shiv Kumar,20-Apr-2026 06:45 PM,20-Apr-2026 06:55 PM,techsummary_2106304.pdf (108.35 KB),Technical,4 ADMITTED,Shiv Kumar,20-Apr-2026 06:29 PM,,eo and je,Internal,,Shiv Kumar,21-Apr-2026 03:27 PM,finsummary_2106304.pdf (149.89 KB),AOC,23-Mar-2026 01:00 PM,13-Apr-2026 12:00 PM,23-Mar-2026 01:00 PM,13-Apr-2026 09:00 AM,NA ,NA ,23-Mar-2026 01:00 PM,13-Apr-2026 09:00 AM,20-Apr-2026 06:55 PM,601.0,adhishashi adhikari nagar palika parishad,sandila,No,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,1342/NP/NV/RVA/2025-26,2026_DOLBU_1129167_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,DD - Demand Draft,"51,000",No,fixed,,adhishashi adhikari nagar palika parishad,sandila,EO and JE,sandila,20-npp sandila me wn22 me mumtaz ke makan se sahabram se shameen khan hote huye shammu khan ke school tak cc sadak va nali nirman karya,20-npp sandila me wn22 me mumtaz ke makan se sahabram se shameen khan hote huye shammu khan ke school tak cc sadak va nali nirman karya,Please refer Tender documents. ,NA ,"6,00,000",Civil Works,NA ,Tender,30.0,60.0,nagar palika parishad sandila,241204.0,NA ,NA ,NA ,nagar palika parishad sandila,No ,No,1.0,Fee/PreQual/Technical,.pdf,tech,AOC
,,,,,,,,,,,,,,,2.0,6041966.0,M/S SANJAY TIWARI CONTRACTOR,12-Apr-2026 11:27 AM,Accepted-AOC,L1,21-Apr-2026 03:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,AOC
,,,,,,,,,,,,,,,3.0,6040955.0,M/S SUSHIL KUMAR GUPTA CONTRACTOR,11-Apr-2026 11:26 AM,Rejected-AOC,L3,21-Apr-2026 03:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4.0,6042647.0,STAR BUILDERS & SUPPLIERS,12-Apr-2026 06:32 PM,Rejected-AOC,L4,21-Apr-2026 03:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
