Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Bids submitted,Nanak Chand,08-Apr-2026 07:13 PM,finance_2066464.pdf,BOQ Comparative Chart,1.0,Revoke tender,Revoke tender,08-Apr-2026 06:53 PM,BidsSubmitted.pdf ,185.49,Technical Opening,1.0,5864502.0,M/s Farhan Enterprises,INR,"787,168","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1114385_1,709/AA-4/25-26,Soil cutting work at Anandeshwar Ghat under Ward-42 Permat Zone-04.,1,5864502,M/s Farhan Enterprises,12-Feb-2026 12:16 PM,Accepted-AOC,AOC issue,23-Apr-2026 10:58 AM,18-Apr-2026,"INR 787,168",45.0,MEENAKSHI AGARWAL,23-Apr-2026 10:58 AM,Anandeshwar_ghat_AOC.pdf (348.00 KB),AOC issue,"Jr. Engg., Exe. Engg.",Internal,"Jr. Engg., Exe. Engg.",Nanak Chand,08-Apr-2026 07:47 PM,techsummary_2066464.pdf (213.72 KB),"Jr. Engg., Exe. Engg.",Internal,"Jr. Engg., Exe. Engg.",Nanak Chand,08-Apr-2026 08:13 PM,finsummary_2066464.pdf (398.65 KB),AOC,Soil cutting work at Anandeshwar Ghat under Ward-42 Permat Zone-04.,Soil cutting work at Anandeshwar Ghat under Ward-42 Permat Zone-04.,Please refer Tender documents. ,NA ,"7,99,155",Civil Works,NA ,Tender,90.0,45.0,Ward-42,208001.0,NA ,NA ,NA ,"Chief Engineer Office, KNN, Motijheel, Kanpur",No ,No,"Kanpur Municipal Corporation, Kanpur, UP",709/AA-4/25-26,2026_NNKAN_1114385_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,SBI Bank,"Chief Engineer, KNN","Chief Engineer Office, KNN, Motijheel, Kanpur","79,916",No,percentage,10.0%,Nil,Nil,11-Feb-2026 10:55 AM,12-Feb-2026 04:00 PM,11-Feb-2026 10:55 AM,12-Feb-2026 03:00 PM,NA ,NA ,11-Feb-2026 10:55 AM,12-Feb-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"1,180",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,5863458,M/S INDIAN BUILDER,12-Feb-2026 11:41 AM,Rejected-Finance,L2 bidder,08-Apr-2026 08:13 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of pending work affidavit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,5863462,M/S S.A BUILDERS,12-Feb-2026 11:59 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Wrong affidavit,08-Apr-2026 07:13 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,5864393,SATYA CONSTRUCTION COMPANY,12-Feb-2026 11:52 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Wrong affidavit,08-Apr-2026 07:13 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,5863465,SMS ENCLAVE,12-Feb-2026 11:44 AM,Rejected-Finance,L3 bidder,08-Apr-2026 08:13 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
